Player,Team,Opponent,Position,Line,Proj Goals,Proj Assists,Proj SOG,Proj Blocks,DK Points
Nicolas Deslauriers,PHI,COL,F,NA,0.0,0.0,0.0,0.0,0.0
Nick Seeler,PHI,COL,F,NA,0.0,0.0,0.0,0.0,0.0
Sean Couturier,PHI,COL,F,NA,0.0,0.0,0.0,0.0,0.0
Garnet Hathaway,PHI,COL,F,NA,0.0,0.0,0.0,0.0,0.0
Travis Sanheim,PHI,COL,F,NA,0.0,0.0,0.0,0.0,0.0
Christian Dvorak,PHI,COL,F,NA,0.0,0.0,0.0,0.0,0.0
Travis Konecny,PHI,COL,F,NA,0.0,0.0,0.0,0.0,0.0
Noah Juulsen,PHI,COL,F,NA,0.0,0.0,0.0,0.0,0.0
Rodrigo Abols,PHI,COL,F,NA,0.0,0.0,0.0,0.0,0.0
Carl Grundstrom,PHI,COL,F,NA,0.0,0.0,0.0,0.0,0.0
Owen Tippett,PHI,COL,F,NA,0.0,0.0,0.0,0.0,0.0
Noah Cates,PHI,COL,F,NA,0.0,0.0,0.0,0.0,0.0
Adam Ginning,PHI,COL,F,NA,0.0,0.0,0.0,0.0,0.0
Egor Zamula,PHI,COL,F,NA,0.0,0.0,0.0,0.0,0.0
Trevor Zegras,PHI,COL,F,NA,0.0,0.0,0.0,0.0,0.0
Cam York,PHI,COL,F,NA,0.0,0.0,0.0,0.0,0.0
Bobby Brink,PHI,COL,F,NA,0.0,0.0,0.0,0.0,0.0
Jacob Gaucher,PHI,COL,F,NA,0.0,0.0,0.0,0.0,0.0
Emil Andrae,PHI,COL,F,NA,0.0,0.0,0.0,0.0,0.0
Jamie Drysdale,PHI,COL,F,NA,0.0,0.0,0.0,0.0,0.0
Tyson Foerster,PHI,COL,F,NA,0.0,0.0,0.0,0.0,0.0
Nikita Grebenkin,PHI,COL,F,NA,0.0,0.0,0.0,0.0,0.0
Matvei Michkov,PHI,COL,F,NA,0.0,0.0,0.0,0.0,0.0
Jett Luchanko,PHI,COL,F,NA,0.0,0.0,0.0,0.0,0.0
Brent Burns,COL,PHI,F,NA,0.0,0.0,0.0,0.0,0.0
Brock Nelson,COL,PHI,F,NA,0.0,0.0,0.0,0.0,0.0
Josh Manson,COL,PHI,F,NA,0.0,0.0,0.0,0.0,0.0
Gabriel Landeskog,COL,PHI,F,NA,0.0,0.0,0.0,0.0,0.0
Artturi Lehkonen,COL,PHI,F,NA,0.0,0.0,0.0,0.0,0.0
Nathan MacKinnon,COL,PHI,F,NA,0.0,0.0,0.0,0.0,0.0
Valeri Nichushkin,COL,PHI,F,NA,0.0,0.0,0.0,0.0,0.0
Devon Toews,COL,PHI,F,NA,0.0,0.0,0.0,0.0,0.0
Victor Olofsson,COL,PHI,F,NA,0.0,0.0,0.0,0.0,0.0
Samuel Girard,COL,PHI,F,NA,0.0,0.0,0.0,0.0,0.0
Ross Colton,COL,PHI,F,NA,0.0,0.0,0.0,0.0,0.0
Martin Necas,COL,PHI,F,NA,0.0,0.0,0.0,0.0,0.0
Cale Makar,COL,PHI,F,NA,0.0,0.0,0.0,0.0,0.0
Parker Kelly,COL,PHI,F,NA,0.0,0.0,0.0,0.0,0.0
Jack Drury,COL,PHI,F,NA,0.0,0.0,0.0,0.0,0.0
Joel Kiviranta,COL,PHI,F,NA,0.0,0.0,0.0,0.0,0.0
Jack Ahcan,COL,PHI,F,NA,0.0,0.0,0.0,0.0,0.0
Ilya Solovyov,COL,PHI,F,NA,0.0,0.0,0.0,0.0,0.0
Zakhar Bardakov,COL,PHI,F,NA,0.0,0.0,0.0,0.0,0.0
Taylor Makar,COL,PHI,F,NA,0.0,0.0,0.0,0.0,0.0
Tristen Nielsen,COL,PHI,F,NA,0.0,0.0,0.0,0.0,0.0
Ivan Ivan,COL,PHI,F,NA,0.0,0.0,0.0,0.0,0.0
Gavin Brindley,COL,PHI,F,NA,0.0,0.0,0.0,0.0,0.0
