Team,Assignment,PlayerRaw,NormName
TOR,GOALIE,Dennis Hildeby,DENNIS HILDEBY
TOR,GOALIE,Artur Akhtyamov,ARTUR AKHTYAMOV
UTA,GOALIE,Karel Vejmelka,KAREL VEJMELKA
UTA,GOALIE,Vitek Vanecek,VITEK VANECEK
CGY,GOALIE,Dustin Wolf,DUSTIN WOLF
CGY,GOALIE,Devin Cooley,DEVIN COOLEY
VAN,GOALIE,Nikita Tolopilo,NIKITA TOLOPILO
VAN,GOALIE,Kevin Lankinen,KEVIN LANKINEN
SEA,GOALIE,Joey Daccord,JOEY DACCORD
SEA,GOALIE,Philipp Grubauer,PHILIPP GRUBAUER
TBL,GOALIE,Jonas Johansson,JONAS JOHANSSON
TBL,GOALIE,Brandon Halverson,BRANDON HALVERSON
LAK,GOALIE,Darcy Kuemper,DARCY KUEMPER
LAK,GOALIE,Anton Forsberg,ANTON FORSBERG
BUF,GOALIE,Ukko-Pekka Luukkonen,UKKO-PEKKA LUUKKONEN
BUF,GOALIE,Colten Ellis,COLTEN ELLIS
DET,GOALIE,John Gibson,JOHN GIBSON
DET,GOALIE,Cam Talbot,CAM TALBOT
MIN,GOALIE,Jesper Wallstedt,JESPER WALLSTEDT
MIN,GOALIE,Filip Gustavsson,FILIP GUSTAVSSON
