PlayerRaw,NormName,SV_season,SV_recent,SV_last
Brent Burns,BRENT BURNS,0.9209,0.9209,0.8778
Corey Perry,COREY PERRY,0.9043000000000001,0.9043000000000001,0.9223
Alex Ovechkin,ALEX OVECHKIN,0.904,0.904,0.9012
Evgeni Malkin,EVGENI MALKIN,0.8883,0.8883,0.8748
Sidney Crosby,SIDNEY CROSBY,0.8853,0.8853,0.8612000000000001
Anze Kopitar,ANZE KOPITAR,0.9091,0.9091,0.887
Kris Letang,KRIS LETANG,0.8981999999999999,0.8981999999999999,0.8828
Ryan Reaves,RYAN REAVES,0.883,0.883,0.9516
Brad Marchand,BRAD MARCHAND,0.8447,0.8447,0.8908
Nick Foligno,NICK FOLIGNO,0.9091,0.9091,0.8548
Jeff Petry,JEFF PETRY,0.8765999999999999,0.8765999999999999,0.9203
Claude Giroux,CLAUDE GIROUX,0.8614,0.8614,0.889
Jordan Staal,JORDAN STAAL,0.8848,0.8848,0.9012
Jonathan Toews,JONATHAN TOEWS,0.8876000000000001,0.8876000000000001,
Alex Killorn,ALEX KILLORN,0.8687,0.8687,0.8781
Jamie Benn,JAMIE BENN,0.8966,0.8966,0.9086
Ian Cole,IAN COLE,0.8806999999999999,0.8806999999999999,0.8959
James van Riemsdyk,JAMES VAN RIEMSDYK,0.8725,0.8725,0.8753
Brendan Smith,BRENDAN SMITH,1.0,1.0,0.8833
David Perron,DAVID PERRON,0.9124,0.9124,0.9
Patrick Kane,PATRICK KANE,0.8542000000000001,0.8542000000000001,0.8963
Evgenii Dadonov,EVGENII DADONOV,0.9309999999999999,0.9309999999999999,0.8916
Mikael Backlund,MIKAEL BACKLUND,0.917,0.917,0.8944
Ryan McDonagh,RYAN MCDONAGH,0.9096,0.9096,0.9096
Lars Eller,LARS ELLER,0.8687999999999999,0.8687999999999999,0.897
Drew Doughty,DREW DOUGHTY,0.8778,0.8778,0.9144
Steven Stamkos,STEVEN STAMKOS,0.8771,0.8771,0.8665999999999999
Zach Bogosian,ZACH BOGOSIAN,0.9667,0.9667,0.8985
Luke Schenn,LUKE SCHENN,0.8632,0.8632,0.9081
Tyler Myers,TYLER MYERS,0.8540000000000001,0.8540000000000001,0.8829
Erik Karlsson,ERIK KARLSSON,0.9264,0.9264,0.8763
Jordan Eberle,JORDAN EBERLE,0.9337000000000001,0.9337000000000001,0.8741
John Carlson,JOHN CARLSON,0.8773000000000001,0.8773000000000001,0.8848999999999999
Roman Josi,ROMAN JOSI,0.8387,0.8387,0.8698999999999999
Travis Hamonic,TRAVIS HAMONIC,0.8661,0.8661,0.895
Adam Henrique,ADAM HENRIQUE,0.8649,0.8649,0.9074
Gustav Nyquist,GUSTAV NYQUIST,0.9216,0.9216,0.8668
Jared Spurgeon,JARED SPURGEON,0.9161,0.9161,0.9057
Marcus Johansson,MARCUS JOHANSSON,0.9307,0.9307,0.9091
Kyle Palmieri,KYLE PALMIERI,0.8865999999999999,0.8865999999999999,0.8795000000000001
Ryan O'Reilly,RYAN O'REILLY,0.8651000000000001,0.8651000000000001,0.8612000000000001
John Tavares,JOHN TAVARES,0.8606999999999999,0.8606999999999999,0.9002
Victor Hedman,VICTOR HEDMAN,0.9226000000000001,0.9226000000000001,0.9061
Matt Duchene,MATT DUCHENE,0.88,0.88,0.9044
Evander Kane,EVANDER KANE,0.8961,0.8961,
Brayden Schenn,BRAYDEN SCHENN,0.8715999999999999,0.8715999999999999,0.8863
Oliver Ekman-Larsson,OLIVER EKMAN-LARSSON,0.9011,0.9011,0.9075
Nazem Kadri,NAZEM KADRI,0.8848,0.8848,0.8992
Dmitry Kulikov,DMITRY KULIKOV,0.9091,0.9091,0.9073
Nick Leddy,NICK LEDDY,0.8645999999999999,0.8645999999999999,0.8829
