PlayerRaw,NormName,G/60,A/60,SOG/60,BLK/60,CF/60,xGF/60,HDCF/60,Team
Alex Killorn,ALEX KILLORN,,,,,419.0,21.29,82.0,ANA
Chris Kreider,CHRIS KREIDER,,,,,515.0,29.29,108.0,ANA
Radko Gudas,RADKO GUDAS,,,,,267.0,11.35,49.0,ANA
Mikael Granlund,MIKAEL GRANLUND,,,,,215.0,13.61,44.0,ANA
Ryan Strome,RYAN STROME,,,,,142.0,7.27,25.0,ANA
Jacob Trouba,JACOB TROUBA,,,,,570.0,28.13,114.0,ANA
Ross Johnston,ROSS JOHNSTON,,,,,185.0,7.62,30.0,ANA
Frank Vatrano,FRANK VATRANO,,,,,293.0,14.02,52.0,ANA
Jansen Harkins,JANSEN HARKINS,,,,,97.0,4.17,18.0,ANA
Troy Terry,TROY TERRY,,,,,622.0,36.36,128.0,ANA
Ryan Poehling,RYAN POEHLING,,,,,202.0,8.42,38.0,ANA
Drew Helleson,DREW HELLESON,,,,,433.0,20.32,80.0,ANA
Jackson LaCombe,JACKSON LACOMBE,,,,,714.0,40.58,144.0,ANA
Nikita Nesterenko,NIKITA NESTERENKO,,,,,240.0,10.79,40.0,ANA
Sam Colangelo,SAM COLANGELO,,,,,59.0,2.43,11.0,ANA
Ian Moore,IAN MOORE,,,,,228.0,10.36,43.0,ANA
Mason McTavish,MASON MCTAVISH,,,,,497.0,26.36,109.0,ANA
Olen Zellweger,OLEN ZELLWEGER,,,,,562.0,26.74,110.0,ANA
Cutter Gauthier,CUTTER GAUTHIER,,,,,612.0,31.75,123.0,ANA
Pavel Mintyukov,PAVEL MINTYUKOV,,,,,349.0,17.42,70.0,ANA
Leo Carlsson,LEO CARLSSON,,,,,657.0,37.6,129.0,ANA
Beckett Sennecke,BECKETT SENNECKE,,,,,508.0,27.05,108.0,ANA
