PlayerRaw,NormName,G/60,A/60,SOG/60,BLK/60,CF/60,xGF/60,HDCF/60,Team
Alex Killorn,ALEX KILLORN,,,,,462.0,22.61,88.0,ANA
Chris Kreider,CHRIS KREIDER,,,,,559.0,31.13,114.0,ANA
Radko Gudas,RADKO GUDAS,,,,,299.0,12.41,52.0,ANA
Mikael Granlund,MIKAEL GRANLUND,,,,,233.0,14.73,47.0,ANA
Ryan Strome,RYAN STROME,,,,,151.0,7.64,25.0,ANA
Jacob Trouba,JACOB TROUBA,,,,,613.0,30.06,120.0,ANA
Ross Johnston,ROSS JOHNSTON,,,,,199.0,8.36,34.0,ANA
Frank Vatrano,FRANK VATRANO,,,,,337.0,15.48,58.0,ANA
Jansen Harkins,JANSEN HARKINS,,,,,104.0,4.54,19.0,ANA
Troy Terry,TROY TERRY,,,,,673.0,38.65,135.0,ANA
Ryan Poehling,RYAN POEHLING,,,,,228.0,9.35,45.0,ANA
Drew Helleson,DREW HELLESON,,,,,465.0,21.54,88.0,ANA
Jackson LaCombe,JACKSON LACOMBE,,,,,778.0,44.01,156.0,ANA
Nikita Nesterenko,NIKITA NESTERENKO,,,,,240.0,10.79,40.0,ANA
Sam Colangelo,SAM COLANGELO,,,,,59.0,2.43,11.0,ANA
Ian Moore,IAN MOORE,,,,,246.0,11.42,47.0,ANA
Mason McTavish,MASON MCTAVISH,,,,,540.0,29.21,118.0,ANA
Olen Zellweger,OLEN ZELLWEGER,,,,,605.0,28.87,119.0,ANA
Cutter Gauthier,CUTTER GAUTHIER,,,,,663.0,34.41,131.0,ANA
Pavel Mintyukov,PAVEL MINTYUKOV,,,,,380.0,18.49,73.0,ANA
Leo Carlsson,LEO CARLSSON,,,,,707.0,39.83,136.0,ANA
Beckett Sennecke,BECKETT SENNECKE,,,,,551.0,29.58,117.0,ANA
