PlayerRaw,NormName,G/60,A/60,SOG/60,BLK/60,CF/60,xGF/60,HDCF/60,Team
Sean Kuraly,SEAN KURALY,,,,,332.0,15.79,56.0,BOS
Hampus Lindholm,HAMPUS LINDHOLM,,,,,400.0,20.28,61.0,BOS
Elias Lindholm,ELIAS LINDHOLM,,,,,325.0,17.98,55.0,BOS
Nikita Zadorov,NIKITA ZADOROV,,,,,516.0,24.56,79.0,BOS
David Pastrnak,DAVID PASTRNAK,,,,,578.0,32.09,105.0,BOS
Viktor Arvidsson,VIKTOR ARVIDSSON,,,,,362.0,20.22,62.0,BOS
Pavel Zacha,PAVEL ZACHA,,,,,515.0,28.19,91.0,BOS
Charlie McAvoy,CHARLIE MCAVOY,,,,,482.0,28.03,109.0,BOS
Riley Tufte,RILEY TUFTE,,,,,57.0,3.43,13.0,BOS
Andrew Peeke,ANDREW PEEKE,,,,,475.0,21.66,77.0,BOS
Michael Eyssimont,MICHAEL EYSSIMONT,,,,,369.0,16.61,63.0,BOS
Tanner Jeannot,TANNER JEANNOT,,,,,348.0,17.06,68.0,BOS
Jeffrey Viel,JEFFREY VIEL,,,,,109.0,5.37,25.0,BOS
Morgan Geekie,MORGAN GEEKIE,,,,,569.0,32.9,103.0,BOS
Casey Mittelstadt,CASEY MITTELSTADT,,,,,271.0,12.57,32.0,BOS
Henri Jokiharju,HENRI JOKIHARJU,,,,,402.0,17.7,60.0,BOS
Mark Kastelic,MARK KASTELIC,,,,,338.0,17.24,60.0,BOS
Michael Callahan,MICHAEL CALLAHAN,,,,,58.0,3.05,11.0,BOS
Jordan Harris,JORDAN HARRIS,,,,,85.0,3.8,14.0,BOS
Jonathan Aspirot,JONATHAN ASPIROT,,,,,208.0,8.73,34.0,BOS
John Beecher,JOHN BEECHER,,,,,42.0,1.48,9.0,BOS
Matěj Blümel,MAT J BL MEL,,,,,41.0,2.53,10.0,BOS
Marat Khusnutdinov,MARAT KHUSNUTDINOV,,,,,326.0,13.78,46.0,BOS
Mason Lohrei,MASON LOHREI,,,,,416.0,18.36,65.0,BOS
Alex Steeves,ALEX STEEVES,,,,,139.0,6.63,26.0,BOS
Fraser Minten,FRASER MINTEN,,,,,376.0,18.66,70.0,BOS
Georgii Merkulov,GEORGII MERKULOV,,,,,9.0,0.56,2.0,BOS
