PlayerRaw,NormName,G/60,A/60,SOG/60,BLK/60,CF/60,xGF/60,HDCF/60,Team
Jason Zucker,JASON ZUCKER,,,,,340.0,20.13,74.0,BUF
Mason Geertsen,MASON GEERTSEN,,,,,14.0,0.46,2.0,BUF
Alex Tuch,ALEX TUCH,,,,,509.0,27.7,104.0,BUF
Jordan Greenway,JORDAN GREENWAY,,,,,140.0,6.75,25.0,BUF
Beck Malenstyn,BECK MALENSTYN,,,,,220.0,10.04,46.0,BUF
Tage Thompson,TAGE THOMPSON,,,,,556.0,31.32,107.0,BUF
Justin Danforth,JUSTIN DANFORTH,,,,,27.0,0.65,4.0,BUF
Conor Timmins,CONOR TIMMINS,,,,,377.0,20.16,84.0,BUF
Josh Norris,JOSH NORRIS,,,,,36.0,2.39,8.0,BUF
Jacob Bryson,JACOB BRYSON,,,,,173.0,8.55,42.0,BUF
Ryan McLeod,RYAN MCLEOD,,,,,458.0,26.73,100.0,BUF
Mattias Samuelsson,MATTIAS SAMUELSSON,,,,,454.0,21.81,88.0,BUF
Rasmus Dahlin,RASMUS DAHLIN,,,,,663.0,34.26,124.0,BUF
Michael Kesselring,MICHAEL KESSELRING,,,,,111.0,4.7,17.0,BUF
Peyton Krebs,PEYTON KREBS,,,,,312.0,15.18,63.0,BUF
Bowen Byram,BOWEN BYRAM,,,,,545.0,29.12,105.0,BUF
Ryan Johnson,RYAN JOHNSON,,,,,24.0,1.69,11.0,BUF
Jack Quinn,JACK QUINN,,,,,430.0,23.82,95.0,BUF
Josh Dunne,JOSH DUNNE,,,,,146.0,7.03,31.0,BUF
Josh Doan,JOSH DOAN,,,,,528.0,29.82,113.0,BUF
Owen Power,OWEN POWER,,,,,523.0,27.97,102.0,BUF
Isak Rosen,ISAK ROSEN,,,,,139.0,7.27,27.0,BUF
Tyson Kozak,TYSON KOZAK,,,,,182.0,8.9,38.0,BUF
Jiri Kulich,JIRI KULICH,,,,,220.0,9.87,32.0,BUF
Noah Ostlund,NOAH OSTLUND,,,,,218.0,9.87,39.0,BUF
Zach Benson,ZACH BENSON,,,,,287.0,16.96,66.0,BUF
Zach Metsa,ZACH METSA,,,,,36.0,1.85,8.0,BUF
