PlayerRaw,NormName,G/60,A/60,SOG/60,BLK/60,CF/60,xGF/60,HDCF/60,Team
Jason Zucker,JASON ZUCKER,,,,,386.0,24.41,89.0,BUF
Mason Geertsen,MASON GEERTSEN,,,,,14.0,0.46,2.0,BUF
Alex Tuch,ALEX TUCH,,,,,542.0,30.38,115.0,BUF
Jordan Greenway,JORDAN GREENWAY,,,,,158.0,7.53,27.0,BUF
Beck Malenstyn,BECK MALENSTYN,,,,,239.0,10.79,48.0,BUF
Tage Thompson,TAGE THOMPSON,,,,,615.0,35.84,125.0,BUF
Justin Danforth,JUSTIN DANFORTH,,,,,27.0,0.65,4.0,BUF
Conor Timmins,CONOR TIMMINS,,,,,412.0,21.74,87.0,BUF
Josh Norris,JOSH NORRIS,,,,,92.0,6.35,24.0,BUF
Jacob Bryson,JACOB BRYSON,,,,,183.0,9.12,45.0,BUF
Ryan McLeod,RYAN MCLEOD,,,,,494.0,29.7,112.0,BUF
Mattias Samuelsson,MATTIAS SAMUELSSON,,,,,492.0,24.35,98.0,BUF
Rasmus Dahlin,RASMUS DAHLIN,,,,,723.0,39.67,146.0,BUF
Michael Kesselring,MICHAEL KESSELRING,,,,,111.0,4.7,17.0,BUF
Peyton Krebs,PEYTON KREBS,,,,,333.0,16.26,65.0,BUF
Bowen Byram,BOWEN BYRAM,,,,,601.0,32.56,119.0,BUF
Ryan Johnson,RYAN JOHNSON,,,,,24.0,1.69,11.0,BUF
Jack Quinn,JACK QUINN,,,,,460.0,26.42,104.0,BUF
Josh Dunne,JOSH DUNNE,,,,,150.0,7.14,31.0,BUF
Josh Doan,JOSH DOAN,,,,,573.0,33.49,128.0,BUF
Owen Power,OWEN POWER,,,,,563.0,30.78,114.0,BUF
Isak Rosen,ISAK ROSEN,,,,,139.0,7.27,27.0,BUF
Tyson Kozak,TYSON KOZAK,,,,,182.0,8.9,38.0,BUF
Jiri Kulich,JIRI KULICH,,,,,220.0,9.87,32.0,BUF
Noah Ostlund,NOAH OSTLUND,,,,,237.0,11.21,45.0,BUF
Zach Benson,ZACH BENSON,,,,,323.0,19.23,76.0,BUF
Zach Metsa,ZACH METSA,,,,,36.0,1.85,8.0,BUF
