PlayerRaw,NormName,G/60,A/60,SOG/60,BLK/60,CF/60,xGF/60,HDCF/60,Team
Jordan Staal,JORDAN STAAL,,,,,389.0,18.86,73.0,CAR
Taylor Hall,TAYLOR HALL,,,,,480.0,24.07,95.0,CAR
Mike Reilly,MIKE REILLY,,,,,407.0,19.3,74.0,CAR
Mark Jankowski,MARK JANKOWSKI,,,,,210.0,8.89,41.0,CAR
Shayne Gostisbehere,SHAYNE GOSTISBEHERE,,,,,500.0,26.56,100.0,CAR
Jordan Martinook,JORDAN MARTINOOK,,,,,422.0,20.92,88.0,CAR
Jaccob Slavin,JACCOB SLAVIN,,,,,41.0,2.12,7.0,CAR
William Carrier,WILLIAM CARRIER,,,,,305.0,13.09,66.0,CAR
Nikolaj Ehlers,NIKOLAJ EHLERS,,,,,609.0,33.57,117.0,CAR
Sebastian Aho,SEBASTIAN AHO,,,,,749.0,39.62,117.0,CAR
Jalen Chatfield,JALEN CHATFIELD,,,,,420.0,17.88,71.0,CAR
Sean Walker,SEAN WALKER,,,,,729.0,36.56,134.0,CAR
Eric Robinson,ERIC ROBINSON,,,,,273.0,11.53,53.0,CAR
K'Andre Miller,K'ANDRE MILLER,,,,,547.0,26.19,95.0,CAR
Jesperi Kotkaniemi,JESPERI KOTKANIEMI,,,,,180.0,6.58,28.0,CAR
Andrei Svechnikov,ANDREI SVECHNIKOV,,,,,657.0,32.85,100.0,CAR
Domenick Fensore,DOMENICK FENSORE,,,,,9.0,0.23,1.0,CAR
Seth Jarvis,SETH JARVIS,,,,,684.0,39.45,112.0,CAR
Alexander Nikishin,ALEXANDER NIKISHIN,,,,,584.0,27.92,119.0,CAR
Logan Stankoven,LOGAN STANKOVEN,,,,,536.0,28.22,123.0,CAR
Justin Robidas,JUSTIN ROBIDAS,,,,,23.0,0.53,2.0,CAR
Jackson Blake,JACKSON BLAKE,,,,,565.0,30.62,127.0,CAR
Joel Nystrom,JOEL NYSTROM,,,,,382.0,17.23,68.0,CAR
Bradly Nadeau,BRADLY NADEAU,,,,,79.0,2.9,12.0,CAR
Charles Alexis Legault,CHARLES ALEXIS LEGAULT,,,,,114.0,5.32,18.0,CAR
