PlayerRaw,NormName,G/60,A/60,SOG/60,BLK/60,CF/60,xGF/60,HDCF/60,Team
Jordan Staal,JORDAN STAAL,,,,,352.0,17.58,68.0,CAR
Taylor Hall,TAYLOR HALL,,,,,440.0,21.66,87.0,CAR
Mike Reilly,MIKE REILLY,,,,,383.0,18.11,70.0,CAR
Mark Jankowski,MARK JANKOWSKI,,,,,195.0,8.19,39.0,CAR
Shayne Gostisbehere,SHAYNE GOSTISBEHERE,,,,,445.0,23.45,89.0,CAR
Jordan Martinook,JORDAN MARTINOOK,,,,,391.0,19.9,83.0,CAR
Jaccob Slavin,JACCOB SLAVIN,,,,,41.0,2.12,7.0,CAR
William Carrier,WILLIAM CARRIER,,,,,276.0,12.22,62.0,CAR
Nikolaj Ehlers,NIKOLAJ EHLERS,,,,,570.0,30.86,104.0,CAR
Sebastian Aho,SEBASTIAN AHO,,,,,702.0,36.81,108.0,CAR
Jalen Chatfield,JALEN CHATFIELD,,,,,383.0,16.27,63.0,CAR
Sean Walker,SEAN WALKER,,,,,677.0,34.25,123.0,CAR
Eric Robinson,ERIC ROBINSON,,,,,240.0,10.22,49.0,CAR
K'Andre Miller,K'ANDRE MILLER,,,,,524.0,25.07,90.0,CAR
Jesperi Kotkaniemi,JESPERI KOTKANIEMI,,,,,163.0,6.09,26.0,CAR
Andrei Svechnikov,ANDREI SVECHNIKOV,,,,,614.0,30.34,92.0,CAR
Domenick Fensore,DOMENICK FENSORE,,,,,9.0,0.23,1.0,CAR
Seth Jarvis,SETH JARVIS,,,,,640.0,36.8,104.0,CAR
Alexander Nikishin,ALEXANDER NIKISHIN,,,,,533.0,25.37,110.0,CAR
Logan Stankoven,LOGAN STANKOVEN,,,,,497.0,25.54,111.0,CAR
Justin Robidas,JUSTIN ROBIDAS,,,,,23.0,0.53,2.0,CAR
Jackson Blake,JACKSON BLAKE,,,,,519.0,27.36,111.0,CAR
Joel Nystrom,JOEL NYSTROM,,,,,355.0,16.32,64.0,CAR
Bradly Nadeau,BRADLY NADEAU,,,,,79.0,2.9,12.0,CAR
Charles Alexis Legault,CHARLES ALEXIS LEGAULT,,,,,114.0,5.32,18.0,CAR
