PlayerRaw,NormName,G/60,A/60,SOG/60,BLK/60,CF/60,xGF/60,HDCF/60,Team
Brendan Smith,BRENDAN SMITH,,,,,36.0,1.47,6.0,CBJ
Charlie Coyle,CHARLIE COYLE,,,,,447.0,24.79,96.0,CBJ
Erik Gudbranson,ERIK GUDBRANSON,,,,,45.0,2.12,11.0,CBJ
Boone Jenner,BOONE JENNER,,,,,324.0,16.72,59.0,CBJ
Brendan Gaunce,BRENDAN GAUNCE,,,,,60.0,2.93,13.0,CBJ
Damon Severson,DAMON SEVERSON,,,,,574.0,31.87,122.0,CBJ
Miles Wood,MILES WOOD,,,,,273.0,13.27,54.0,CBJ
Sean Monahan,SEAN MONAHAN,,,,,582.0,35.07,116.0,CBJ
Dysin Mayo,DYSIN MAYO,,,,,12.0,0.4,2.0,CBJ
Zach Werenski,ZACH WERENSKI,,,,,860.0,47.61,167.0,CBJ
Ivan Provorov,IVAN PROVOROV,,,,,624.0,34.94,128.0,CBJ
Dante Fabbro,DANTE FABBRO,,,,,404.0,17.12,68.0,CBJ
Mathieu Olivier,MATHIEU OLIVIER,,,,,295.0,14.63,64.0,CBJ
Zach Aston-Reese,ZACH ASTON-REESE,,,,,128.0,6.28,21.0,CBJ
Isac Lundestrom,ISAC LUNDESTROM,,,,,249.0,12.14,42.0,CBJ
Kirill Marchenko,KIRILL MARCHENKO,,,,,550.0,32.05,110.0,CBJ
Jake Christiansen,JAKE CHRISTIANSEN,,,,,195.0,6.62,25.0,CBJ
Dmitri Voronkov,DMITRI VORONKOV,,,,,521.0,29.47,100.0,CBJ
Yegor Chinakhov,YEGOR CHINAKHOV,,,,,200.0,7.95,37.0,CBJ
Kent Johnson,KENT JOHNSON,,,,,449.0,23.44,78.0,CBJ
Cole Sillinger,COLE SILLINGER,,,,,437.0,23.6,94.0,CBJ
Luca Del Bel Belluz,LUCA DEL BEL BELLUZ,,,,,59.0,2.33,7.0,CBJ
Denton Mateychuk,DENTON MATEYCHUK,,,,,480.0,24.0,93.0,CBJ
Adam Fantilli,ADAM FANTILLI,,,,,574.0,31.46,106.0,CBJ
Luca Pinelli,LUCA PINELLI,,,,,43.0,2.65,12.0,CBJ
