PlayerRaw,NormName,G/60,A/60,SOG/60,BLK/60,CF/60,xGF/60,HDCF/60,Team
Brendan Smith,BRENDAN SMITH,,,,,25.0,1.31,6.0,CBJ
Charlie Coyle,CHARLIE COYLE,,,,,429.0,23.98,92.0,CBJ
Erik Gudbranson,ERIK GUDBRANSON,,,,,45.0,2.12,11.0,CBJ
Boone Jenner,BOONE JENNER,,,,,324.0,16.72,59.0,CBJ
Brendan Gaunce,BRENDAN GAUNCE,,,,,44.0,2.55,11.0,CBJ
Damon Severson,DAMON SEVERSON,,,,,552.0,30.61,116.0,CBJ
Miles Wood,MILES WOOD,,,,,258.0,12.69,52.0,CBJ
Sean Monahan,SEAN MONAHAN,,,,,561.0,33.87,112.0,CBJ
Dysin Mayo,DYSIN MAYO,,,,,12.0,0.4,2.0,CBJ
Zach Werenski,ZACH WERENSKI,,,,,820.0,45.97,162.0,CBJ
Ivan Provorov,IVAN PROVOROV,,,,,590.0,33.82,125.0,CBJ
Dante Fabbro,DANTE FABBRO,,,,,391.0,16.9,67.0,CBJ
Mathieu Olivier,MATHIEU OLIVIER,,,,,295.0,14.63,64.0,CBJ
Zach Aston-Reese,ZACH ASTON-REESE,,,,,128.0,6.28,21.0,CBJ
Isac Lundestrom,ISAC LUNDESTROM,,,,,238.0,11.66,40.0,CBJ
Kirill Marchenko,KIRILL MARCHENKO,,,,,521.0,30.72,107.0,CBJ
Jake Christiansen,JAKE CHRISTIANSEN,,,,,195.0,6.62,25.0,CBJ
Dmitri Voronkov,DMITRI VORONKOV,,,,,493.0,28.2,96.0,CBJ
Yegor Chinakhov,YEGOR CHINAKHOV,,,,,188.0,7.71,36.0,CBJ
Kent Johnson,KENT JOHNSON,,,,,436.0,22.79,75.0,CBJ
Cole Sillinger,COLE SILLINGER,,,,,416.0,22.65,89.0,CBJ
Luca Del Bel Belluz,LUCA DEL BEL BELLUZ,,,,,48.0,2.08,6.0,CBJ
Denton Mateychuk,DENTON MATEYCHUK,,,,,464.0,23.02,88.0,CBJ
Adam Fantilli,ADAM FANTILLI,,,,,546.0,30.18,103.0,CBJ
Luca Pinelli,LUCA PINELLI,,,,,43.0,2.65,12.0,CBJ
