PlayerRaw,NormName,G/60,A/60,SOG/60,BLK/60,CF/60,xGF/60,HDCF/60,Team
Mikael Backlund,MIKAEL BACKLUND,,,,,447.0,22.65,85.0,CGY
Nazem Kadri,NAZEM KADRI,,,,,715.0,40.03,154.0,CGY
Blake Coleman,BLAKE COLEMAN,,,,,465.0,24.18,97.0,CGY
Jonathan Huberdeau,JONATHAN HUBERDEAU,,,,,551.0,32.21,127.0,CGY
MacKenzie Weegar,MACKENZIE WEEGAR,,,,,756.0,36.77,139.0,CGY
Joel Hanley,JOEL HANLEY,,,,,433.0,18.2,75.0,CGY
Justin Kirkland,JUSTIN KIRKLAND,,,,,81.0,2.86,13.0,CGY
Dryden Hunt,DRYDEN HUNT,,,,,15.0,1.05,4.0,CGY
Rasmus Andersson,RASMUS ANDERSSON,,,,,690.0,38.29,146.0,CGY
Ryan Lomberg,RYAN LOMBERG,,,,,210.0,7.45,33.0,CGY
Jake Bean,JAKE BEAN,,,,,273.0,12.18,56.0,CGY
Morgan Frost,MORGAN FROST,,,,,566.0,33.56,132.0,CGY
Joel Farabee,JOEL FARABEE,,,,,534.0,27.62,104.0,CGY
Kevin Bahl,KEVIN BAHL,,,,,503.0,26.0,102.0,CGY
Yegor Sharangovich,YEGOR SHARANGOVICH,,,,,404.0,19.75,75.0,CGY
Brayden Pachal,BRAYDEN PACHAL,,,,,270.0,11.01,54.0,CGY
John Beecher,JOHN BEECHER,,,,,61.0,3.15,14.0,CGY
Connor Zary,CONNOR ZARY,,,,,380.0,16.97,67.0,CGY
Yan Kuznetsov,YAN KUZNETSOV,,,,,296.0,14.58,57.0,CGY
Rory Kerins,RORY KERINS,,,,,43.0,2.42,10.0,CGY
Daniil Miromanov,DANIIL MIROMANOV,,,,,9.0,0.21,1.0,CGY
Matt Coronato,MATT CORONATO,,,,,575.0,31.59,120.0,CGY
Adam Klapka,ADAM KLAPKA,,,,,291.0,11.73,51.0,CGY
Samuel Honzek,SAMUEL HONZEK,,,,,205.0,9.3,40.0,CGY
Zayne Parekh,ZAYNE PAREKH,,,,,187.0,8.45,32.0,CGY
Sam Morton,SAM MORTON,,,,,22.0,0.85,2.0,CGY
Matvei Gridin,MATVEI GRIDIN,,,,,58.0,2.32,8.0,CGY
