PlayerRaw,NormName,G/60,A/60,SOG/60,BLK/60,CF/60,xGF/60,HDCF/60,Team
Mikael Backlund,MIKAEL BACKLUND,,,,,419.0,19.71,76.0,CGY
Nazem Kadri,NAZEM KADRI,,,,,668.0,37.63,144.0,CGY
Blake Coleman,BLAKE COLEMAN,,,,,435.0,21.21,88.0,CGY
Jonathan Huberdeau,JONATHAN HUBERDEAU,,,,,518.0,30.07,120.0,CGY
MacKenzie Weegar,MACKENZIE WEEGAR,,,,,716.0,34.82,130.0,CGY
Joel Hanley,JOEL HANLEY,,,,,405.0,16.84,69.0,CGY
Justin Kirkland,JUSTIN KIRKLAND,,,,,81.0,2.86,13.0,CGY
Dryden Hunt,DRYDEN HUNT,,,,,15.0,1.05,4.0,CGY
Rasmus Andersson,RASMUS ANDERSSON,,,,,639.0,34.49,131.0,CGY
Ryan Lomberg,RYAN LOMBERG,,,,,198.0,7.0,30.0,CGY
Jake Bean,JAKE BEAN,,,,,248.0,10.97,51.0,CGY
Morgan Frost,MORGAN FROST,,,,,536.0,32.15,124.0,CGY
Joel Farabee,JOEL FARABEE,,,,,498.0,25.73,97.0,CGY
Kevin Bahl,KEVIN BAHL,,,,,461.0,22.76,89.0,CGY
Yegor Sharangovich,YEGOR SHARANGOVICH,,,,,358.0,17.09,65.0,CGY
Brayden Pachal,BRAYDEN PACHAL,,,,,270.0,11.01,54.0,CGY
John Beecher,JOHN BEECHER,,,,,45.0,2.61,10.0,CGY
Connor Zary,CONNOR ZARY,,,,,351.0,14.83,58.0,CGY
Yan Kuznetsov,YAN KUZNETSOV,,,,,259.0,13.08,50.0,CGY
Rory Kerins,RORY KERINS,,,,,43.0,2.42,10.0,CGY
Daniil Miromanov,DANIIL MIROMANOV,,,,,9.0,0.21,1.0,CGY
Matt Coronato,MATT CORONATO,,,,,542.0,30.05,111.0,CGY
Adam Klapka,ADAM KLAPKA,,,,,277.0,11.23,47.0,CGY
Samuel Honzek,SAMUEL HONZEK,,,,,205.0,9.3,40.0,CGY
Zayne Parekh,ZAYNE PAREKH,,,,,187.0,8.45,32.0,CGY
Sam Morton,SAM MORTON,,,,,22.0,0.85,2.0,CGY
Matvei Gridin,MATVEI GRIDIN,,,,,58.0,2.32,8.0,CGY
