PlayerRaw,NormName,G/60,A/60,SOG/60,BLK/60,CF/60,xGF/60,HDCF/60,Team
Nick Foligno,NICK FOLIGNO,,,,,176.0,10.42,33.0,CHI
Connor Murphy,CONNOR MURPHY,,,,,258.0,14.19,52.0,CHI
Teuvo Teravainen,TEUVO TERAVAINEN,,,,,444.0,24.69,80.0,CHI
Matt Grzelcyk,MATT GRZELCYK,,,,,421.0,20.75,83.0,CHI
Andre Burakovsky,ANDRE BURAKOVSKY,,,,,434.0,22.28,79.0,CHI
Jason Dickinson,JASON DICKINSON,,,,,177.0,7.84,38.0,CHI
Tyler Bertuzzi,TYLER BERTUZZI,,,,,485.0,25.64,99.0,CHI
Ryan Donato,RYAN DONATO,,,,,406.0,19.92,81.0,CHI
Sam Lafferty,SAM LAFFERTY,,,,,77.0,2.33,12.0,CHI
Alex Vlasic,ALEX VLASIC,,,,,432.0,19.82,77.0,CHI
Ilya Mikheyev,ILYA MIKHEYEV,,,,,319.0,17.51,66.0,CHI
Louis Crevier,LOUIS CREVIER,,,,,290.0,15.64,53.0,CHI
Lukas Reichel,LUKAS REICHEL,,,,,37.0,2.55,13.0,CHI
Landon Slaggert,LANDON SLAGGERT,,,,,64.0,3.85,20.0,CHI
Wyatt Kaiser,WYATT KAISER,,,,,411.0,20.61,77.0,CHI
Colton Dach,COLTON DACH,,,,,271.0,11.55,41.0,CHI
Ethan Del Mastro,ETHAN DEL MASTRO,,,,,13.0,0.4,1.0,CHI
Ryan Greene,RYAN GREENE,,,,,402.0,19.8,75.0,CHI
Frank Nazar,FRANK NAZAR,,,,,450.0,24.62,95.0,CHI
Sam Rinzel,SAM RINZEL,,,,,452.0,21.54,81.0,CHI
Connor Bedard,CONNOR BEDARD,,,,,632.0,36.55,126.0,CHI
Oliver Moore,OLIVER MOORE,,,,,196.0,8.98,38.0,CHI
Artyom Levshunov,ARTYOM LEVSHUNOV,,,,,451.0,23.28,97.0,CHI
