PlayerRaw,NormName,G/60,A/60,SOG/60,BLK/60,CF/60,xGF/60,HDCF/60,Team
Brent Burns,BRENT BURNS,,,,,563.0,28.54,98.0,COL
Brock Nelson,BROCK NELSON,,,,,544.0,33.95,111.0,COL
Josh Manson,JOSH MANSON,,,,,487.0,25.73,84.0,COL
Gabriel Landeskog,GABRIEL LANDESKOG,,,,,497.0,28.4,99.0,COL
Artturi Lehkonen,ARTTURI LEHKONEN,,,,,641.0,37.66,137.0,COL
Nathan MacKinnon,NATHAN MACKINNON,,,,,810.0,49.32,168.0,COL
Valeri Nichushkin,VALERI NICHUSHKIN,,,,,399.0,23.21,88.0,COL
Devon Toews,DEVON TOEWS,,,,,654.0,37.42,148.0,COL
Victor Olofsson,VICTOR OLOFSSON,,,,,505.0,26.09,92.0,COL
Samuel Girard,SAMUEL GIRARD,,,,,207.0,9.12,40.0,COL
Ross Colton,ROSS COLTON,,,,,450.0,21.82,89.0,COL
Martin Necas,MARTIN NECAS,,,,,760.0,45.92,154.0,COL
Cale Makar,CALE MAKAR,,,,,823.0,50.94,170.0,COL
Parker Kelly,PARKER KELLY,,,,,297.0,15.93,62.0,COL
Jack Drury,JACK DRURY,,,,,426.0,20.76,81.0,COL
Joel Kiviranta,JOEL KIVIRANTA,,,,,96.0,3.66,14.0,COL
Jack Ahcan,JACK AHCAN,,,,,90.0,4.91,23.0,COL
Ilya Solovyov,ILYA SOLOVYOV,,,,,127.0,5.03,25.0,COL
Zakhar Bardakov,ZAKHAR BARDAKOV,,,,,161.0,7.24,30.0,COL
Taylor Makar,TAYLOR MAKAR,,,,,22.0,0.86,4.0,COL
Tristen Nielsen,TRISTEN NIELSEN,,,,,21.0,0.52,2.0,COL
Ivan Ivan,IVAN IVAN,,,,,22.0,0.99,3.0,COL
Gavin Brindley,GAVIN BRINDLEY,,,,,173.0,9.38,39.0,COL
Jason Polin,JASON POLIN,,,,,13.0,0.42,2.0,COL
Sam Malinski,SAM MALINSKI,,,,,502.0,24.67,115.0,COL
