PlayerRaw,NormName,G/60,A/60,SOG/60,BLK/60,CF/60,xGF/60,HDCF/60,Team
Jamie Benn,JAMIE BENN,,,,,82.0,4.62,17.0,DAL
Matt Duchene,MATT DUCHENE,,,,,45.0,2.16,8.0,DAL
Alex Petrovic,ALEX PETROVIC,,,,,294.0,16.46,78.0,DAL
Tyler Seguin,TYLER SEGUIN,,,,,406.0,25.27,82.0,DAL
Colin Blackwell,COLIN BLACKWELL,,,,,176.0,7.61,40.0,DAL
Radek Faksa,RADEK FAKSA,,,,,158.0,7.63,35.0,DAL
Esa Lindell,ESA LINDELL,,,,,465.0,32.62,106.0,DAL
Adam Erne,ADAM ERNE,,,,,89.0,4.76,23.0,DAL
Mikko Rantanen,MIKKO RANTANEN,,,,,552.0,43.75,162.0,DAL
Roope Hintz,ROOPE HINTZ,,,,,407.0,31.61,113.0,DAL
Kyle Capobianco,KYLE CAPOBIANCO,,,,,122.0,6.11,28.0,DAL
Sam Steel,SAM STEEL,,,,,321.0,18.23,73.0,DAL
Nathan Bastian,NATHAN BASTIAN,,,,,85.0,5.11,25.0,DAL
Jason Robertson,JASON ROBERTSON,,,,,628.0,49.24,182.0,DAL
Miro Heiskanen,MIRO HEISKANEN,,,,,659.0,50.34,182.0,DAL
Oskar Bäck,OSKAR B CK,,,,,129.0,7.21,29.0,DAL
Nils Lundkvist,NILS LUNDKVIST,,,,,48.0,2.38,9.0,DAL
Ilya Lyubushkin,ILYA LYUBUSHKIN,,,,,189.0,9.44,40.0,DAL
Thomas Harley,THOMAS HARLEY,,,,,316.0,19.02,64.0,DAL
Vladislav Kolyachonok,VLADISLAV KOLYACHONOK,,,,,70.0,3.23,17.0,DAL
Mavrik Bourque,MAVRIK BOURQUE,,,,,332.0,20.22,77.0,DAL
Wyatt Johnston,WYATT JOHNSTON,,,,,568.0,49.21,182.0,DAL
Lian Bichsel,LIAN BICHSEL,,,,,273.0,14.56,69.0,DAL
Justin Hryckowian,JUSTIN HRYCKOWIAN,,,,,202.0,13.08,52.0,DAL
