PlayerRaw,NormName,G/60,A/60,SOG/60,BLK/60,CF/60,xGF/60,HDCF/60,Team
Jamie Benn,JAMIE BENN,,,,,95.0,5.09,18.0,DAL
Matt Duchene,MATT DUCHENE,,,,,45.0,2.16,8.0,DAL
Alex Petrovic,ALEX PETROVIC,,,,,306.0,16.88,78.0,DAL
Tyler Seguin,TYLER SEGUIN,,,,,406.0,25.27,82.0,DAL
Colin Blackwell,COLIN BLACKWELL,,,,,183.0,8.16,41.0,DAL
Radek Faksa,RADEK FAKSA,,,,,166.0,8.25,36.0,DAL
Esa Lindell,ESA LINDELL,,,,,484.0,34.17,111.0,DAL
Adam Erne,ADAM ERNE,,,,,89.0,4.76,23.0,DAL
Mikko Rantanen,MIKKO RANTANEN,,,,,568.0,44.89,166.0,DAL
Roope Hintz,ROOPE HINTZ,,,,,420.0,32.18,114.0,DAL
Kyle Capobianco,KYLE CAPOBIANCO,,,,,133.0,6.49,28.0,DAL
Sam Steel,SAM STEEL,,,,,333.0,19.19,77.0,DAL
Nathan Bastian,NATHAN BASTIAN,,,,,92.0,5.69,26.0,DAL
Jason Robertson,JASON ROBERTSON,,,,,645.0,50.03,183.0,DAL
Miro Heiskanen,MIRO HEISKANEN,,,,,678.0,52.03,187.0,DAL
Oskar Bäck,OSKAR B CK,,,,,138.0,7.55,29.0,DAL
Nils Lundkvist,NILS LUNDKVIST,,,,,48.0,2.38,9.0,DAL
Ilya Lyubushkin,ILYA LYUBUSHKIN,,,,,202.0,9.86,41.0,DAL
Thomas Harley,THOMAS HARLEY,,,,,316.0,19.02,64.0,DAL
Vladislav Kolyachonok,VLADISLAV KOLYACHONOK,,,,,82.0,3.62,18.0,DAL
Mavrik Bourque,MAVRIK BOURQUE,,,,,342.0,20.57,77.0,DAL
Wyatt Johnston,WYATT JOHNSTON,,,,,581.0,50.16,186.0,DAL
Lian Bichsel,LIAN BICHSEL,,,,,273.0,14.56,69.0,DAL
Justin Hryckowian,JUSTIN HRYCKOWIAN,,,,,211.0,13.42,52.0,DAL
