PlayerRaw,NormName,G/60,A/60,SOG/60,BLK/60,CF/60,xGF/60,HDCF/60,Team
James van Riemsdyk,JAMES VAN RIEMSDYK,,,,,336.0,20.15,92.0,DET
Patrick Kane,PATRICK KANE,,,,,384.0,25.9,79.0,DET
Travis Hamonic,TRAVIS HAMONIC,,,,,200.0,8.63,30.0,DET
Ben Chiarot,BEN CHIAROT,,,,,506.0,25.62,108.0,DET
Erik Gustafsson,ERIK GUSTAFSSON,,,,,11.0,0.41,1.0,DET
Andrew Copp,ANDREW COPP,,,,,349.0,17.06,74.0,DET
J.T. Compher,J T COMPHER,,,,,396.0,19.56,71.0,DET
Dylan Larkin,DYLAN LARKIN,,,,,658.0,43.02,154.0,DET
Mason Appleton,MASON APPLETON,,,,,306.0,14.92,58.0,DET
Alex DeBrincat,ALEX DEBRINCAT,,,,,606.0,39.3,134.0,DET
Michael Rasmussen,MICHAEL RASMUSSEN,,,,,238.0,14.9,60.0,DET
Jacob Bernard-Docker,JACOB BERNARD-DOCKER,,,,,173.0,8.69,38.0,DET
Jonatan Berggren,JONATAN BERGGREN,,,,,177.0,8.04,31.0,DET
Moritz Seider,MORITZ SEIDER,,,,,758.0,43.8,156.0,DET
Albert Johansson,ALBERT JOHANSSON,,,,,397.0,20.64,82.0,DET
Elmer Soderblom,ELMER SODERBLOM,,,,,139.0,7.43,32.0,DET
Lucas Raymond,LUCAS RAYMOND,,,,,565.0,36.72,133.0,DET
Simon Edvinsson,SIMON EDVINSSON,,,,,503.0,25.97,90.0,DET
Marco Kasper,MARCO KASPER,,,,,409.0,21.38,71.0,DET
Nate Danielson,NATE DANIELSON,,,,,159.0,10.52,41.0,DET
Axel Sandin-Pellikka,AXEL SANDIN-PELLIKKA,,,,,532.0,29.14,115.0,DET
Emmitt Finnie,EMMITT FINNIE,,,,,469.0,25.54,100.0,DET
Michael Brandsegg-Nygård,MICHAEL BRANDSEGG-NYG RD,,,,,145.0,6.75,31.0,DET
