PlayerRaw,NormName,G/60,A/60,SOG/60,BLK/60,CF/60,xGF/60,HDCF/60,Team
James van Riemsdyk,JAMES VAN RIEMSDYK,,,,,372.0,22.72,103.0,DET
Patrick Kane,PATRICK KANE,,,,,423.0,29.18,87.0,DET
Travis Hamonic,TRAVIS HAMONIC,,,,,200.0,8.63,30.0,DET
Ben Chiarot,BEN CHIAROT,,,,,538.0,26.63,113.0,DET
Erik Gustafsson,ERIK GUSTAFSSON,,,,,11.0,0.41,1.0,DET
Andrew Copp,ANDREW COPP,,,,,380.0,19.9,82.0,DET
J.T. Compher,J T COMPHER,,,,,427.0,21.41,80.0,DET
Dylan Larkin,DYLAN LARKIN,,,,,703.0,45.7,167.0,DET
Mason Appleton,MASON APPLETON,,,,,306.0,14.92,58.0,DET
Alex DeBrincat,ALEX DEBRINCAT,,,,,645.0,42.71,143.0,DET
Michael Rasmussen,MICHAEL RASMUSSEN,,,,,269.0,16.62,69.0,DET
Jacob Bernard-Docker,JACOB BERNARD-DOCKER,,,,,200.0,9.86,46.0,DET
Jonatan Berggren,JONATAN BERGGREN,,,,,177.0,8.04,31.0,DET
Moritz Seider,MORITZ SEIDER,,,,,821.0,48.7,175.0,DET
Albert Johansson,ALBERT JOHANSSON,,,,,421.0,21.72,88.0,DET
Elmer Soderblom,ELMER SODERBLOM,,,,,153.0,8.12,37.0,DET
Lucas Raymond,LUCAS RAYMOND,,,,,613.0,39.53,145.0,DET
Simon Edvinsson,SIMON EDVINSSON,,,,,549.0,29.45,105.0,DET
Marco Kasper,MARCO KASPER,,,,,420.0,21.98,75.0,DET
Nate Danielson,NATE DANIELSON,,,,,173.0,11.53,46.0,DET
Axel Sandin-Pellikka,AXEL SANDIN-PELLIKKA,,,,,557.0,30.29,119.0,DET
Emmitt Finnie,EMMITT FINNIE,,,,,500.0,26.95,107.0,DET
Michael Brandsegg-Nygård,MICHAEL BRANDSEGG-NYG RD,,,,,145.0,6.75,31.0,DET
