PlayerRaw,NormName,G/60,A/60,SOG/60,BLK/60,CF/60,xGF/60,HDCF/60,Team
Adam Henrique,ADAM HENRIQUE,,,,,364.0,20.87,70.0,EDM
Mattias Ekholm,MATTIAS EKHOLM,,,,,602.0,32.74,119.0,EDM
Zach Hyman,ZACH HYMAN,,,,,201.0,11.98,37.0,EDM
Ryan Nugent-Hopkins,RYAN NUGENT-HOPKINS,,,,,389.0,22.68,84.0,EDM
Brett Kulak,BRETT KULAK,,,,,381.0,16.52,59.0,EDM
Mattias Janmark,MATTIAS JANMARK,,,,,113.0,6.37,26.0,EDM
Darnell Nurse,DARNELL NURSE,,,,,504.0,24.48,92.0,EDM
Curtis Lazar,CURTIS LAZAR,,,,,76.0,3.56,15.0,EDM
Leon Draisaitl,LEON DRAISAITL,,,,,723.0,41.59,134.0,EDM
Kasperi Kapanen,KASPERI KAPANEN,,,,,57.0,2.07,8.0,EDM
Jake Walman,JAKE WALMAN,,,,,326.0,14.56,53.0,EDM
Andrew Mangiapane,ANDREW MANGIAPANE,,,,,393.0,19.67,77.0,EDM
Connor McDavid,CONNOR MCDAVID,,,,,746.0,46.8,153.0,EDM
Jack Roslovic,JACK ROSLOVIC,,,,,451.0,22.96,79.0,EDM
Trent Frederic,TRENT FREDERIC,,,,,264.0,13.15,47.0,EDM
Troy Stecher,TROY STECHER,,,,,54.0,1.59,8.0,EDM
Evan Bouchard,EVAN BOUCHARD,,,,,765.0,46.08,154.0,EDM
Alec Regula,ALEC REGULA,,,,,156.0,7.87,29.0,EDM
Ty Emberson,TY EMBERSON,,,,,275.0,11.73,45.0,EDM
Noah Philp,NOAH PHILP,,,,,92.0,3.74,17.0,EDM
Vasily Podkolzin,VASILY PODKOLZIN,,,,,396.0,16.43,67.0,EDM
Isaac Howard,ISAAC HOWARD,,,,,134.0,5.31,16.0,EDM
Matt Savoie,MATT SAVOIE,,,,,360.0,20.46,69.0,EDM
Connor Clattenburg,CONNOR CLATTENBURG,,,,,33.0,2.0,8.0,EDM
David Tomasek,DAVID TOMASEK,,,,,217.0,13.6,53.0,EDM
