PlayerRaw,NormName,G/60,A/60,SOG/60,BLK/60,CF/60,xGF/60,HDCF/60,Team
Brad Marchand,BRAD MARCHAND,,,,,628.0,38.88,155.0,FLA
Jeff Petry,JEFF PETRY,,,,,360.0,17.69,77.0,FLA
Dmitry Kulikov,DMITRY KULIKOV,,,,,17.0,0.8,4.0,FLA
Carter Verhaeghe,CARTER VERHAEGHE,,,,,630.0,36.25,139.0,FLA
Seth Jones,SETH JONES,,,,,747.0,42.83,168.0,FLA
Aaron Ekblad,AARON EKBLAD,,,,,582.0,31.27,125.0,FLA
Sam Reinhart,SAM REINHART,,,,,664.0,41.07,151.0,FLA
Sam Bennett,SAM BENNETT,,,,,575.0,31.21,130.0,FLA
Gustav Forsling,GUSTAV FORSLING,,,,,555.0,29.42,118.0,FLA
A.J. Greer,A J GREER,,,,,271.0,13.0,59.0,FLA
Evan Rodrigues,EVAN RODRIGUES,,,,,495.0,27.89,119.0,FLA
Niko Mikkola,NIKO MIKKOLA,,,,,501.0,25.02,116.0,FLA
Luke Kunin,LUKE KUNIN,,,,,158.0,6.71,28.0,FLA
Noah Gregor,NOAH GREGOR,,,,,100.0,5.59,21.0,FLA
Jonah Gadjovich,JONAH GADJOVICH,,,,,67.0,2.69,14.0,FLA
Jesper Boqvist,JESPER BOQVIST,,,,,295.0,14.73,63.0,FLA
Jack Studnicka,JACK STUDNICKA,,,,,22.0,0.72,2.0,FLA
Eetu Luostarinen,EETU LUOSTARINEN,,,,,302.0,16.75,81.0,FLA
Cole Schwindt,COLE SCHWINDT,,,,,51.0,2.86,15.0,FLA
Anton Lundell,ANTON LUNDELL,,,,,600.0,35.55,133.0,FLA
Donovan Sebrango,DONOVAN SEBRANGO,,,,,130.0,6.43,28.0,FLA
Mackie Samoskevich,MACKIE SAMOSKEVICH,,,,,472.0,24.45,98.0,FLA
Jack Devine,JACK DEVINE,,,,,50.0,1.9,7.0,FLA
Uvis Balinskis,UVIS BALINSKIS,,,,,248.0,12.74,52.0,FLA
