PlayerRaw,NormName,G/60,A/60,SOG/60,BLK/60,CF/60,xGF/60,HDCF/60,Team
Brad Marchand,BRAD MARCHAND,,,,,593.0,36.68,145.0,FLA
Jeff Petry,JEFF PETRY,,,,,360.0,17.69,77.0,FLA
Dmitry Kulikov,DMITRY KULIKOV,,,,,17.0,0.8,4.0,FLA
Carter Verhaeghe,CARTER VERHAEGHE,,,,,598.0,34.22,131.0,FLA
Seth Jones,SETH JONES,,,,,711.0,40.87,160.0,FLA
Aaron Ekblad,AARON EKBLAD,,,,,569.0,30.7,122.0,FLA
Sam Reinhart,SAM REINHART,,,,,635.0,39.61,147.0,FLA
Sam Bennett,SAM BENNETT,,,,,539.0,29.02,120.0,FLA
Gustav Forsling,GUSTAV FORSLING,,,,,537.0,28.62,113.0,FLA
A.J. Greer,A J GREER,,,,,259.0,12.61,58.0,FLA
Evan Rodrigues,EVAN RODRIGUES,,,,,477.0,27.27,117.0,FLA
Niko Mikkola,NIKO MIKKOLA,,,,,478.0,24.02,111.0,FLA
Luke Kunin,LUKE KUNIN,,,,,151.0,6.44,26.0,FLA
Noah Gregor,NOAH GREGOR,,,,,100.0,5.59,21.0,FLA
Jonah Gadjovich,JONAH GADJOVICH,,,,,67.0,2.69,14.0,FLA
Jesper Boqvist,JESPER BOQVIST,,,,,287.0,14.42,61.0,FLA
Jack Studnicka,JACK STUDNICKA,,,,,17.0,0.65,1.0,FLA
Eetu Luostarinen,EETU LUOSTARINEN,,,,,289.0,16.24,79.0,FLA
Cole Schwindt,COLE SCHWINDT,,,,,51.0,2.86,15.0,FLA
Anton Lundell,ANTON LUNDELL,,,,,586.0,34.94,131.0,FLA
Donovan Sebrango,DONOVAN SEBRANGO,,,,,116.0,5.62,25.0,FLA
Mackie Samoskevich,MACKIE SAMOSKEVICH,,,,,459.0,24.06,97.0,FLA
Jack Devine,JACK DEVINE,,,,,50.0,1.9,7.0,FLA
Uvis Balinskis,UVIS BALINSKIS,,,,,232.0,11.94,50.0,FLA
