PlayerRaw,NormName,G/60,A/60,SOG/60,BLK/60,CF/60,xGF/60,HDCF/60,Team
Zach Bogosian,ZACH BOGOSIAN,,,,,133.0,6.3,31.0,MIN
Jared Spurgeon,JARED SPURGEON,,,,,544.0,30.3,111.0,MIN
Marcus Johansson,MARCUS JOHANSSON,,,,,439.0,22.49,93.0,MIN
Marcus Foligno,MARCUS FOLIGNO,,,,,281.0,11.73,47.0,MIN
Mats Zuccarello,MATS ZUCCARELLO,,,,,251.0,15.62,57.0,MIN
Tyler Pitlick,TYLER PITLICK,,,,,96.0,3.94,16.0,MIN
Vladimir Tarasenko,VLADIMIR TARASENKO,,,,,375.0,21.33,72.0,MIN
Jonas Brodin,JONAS BRODIN,,,,,530.0,24.45,96.0,MIN
Vinnie Hinostroza,VINNIE HINOSTROZA,,,,,233.0,9.68,36.0,MIN
Ryan Hartman,RYAN HARTMAN,,,,,412.0,22.7,85.0,MIN
Jake Middleton,JAKE MIDDLETON,,,,,400.0,20.26,85.0,MIN
Joel Eriksson Ek,JOEL ERIKSSON EK,,,,,579.0,35.97,119.0,MIN
Yakov Trenin,YAKOV TRENIN,,,,,307.0,16.69,64.0,MIN
Kirill Kaprizov,KIRILL KAPRIZOV,,,,,684.0,42.11,149.0,MIN
Ben Jones,BEN JONES,,,,,92.0,2.86,10.0,MIN
Nico Sturm,NICO STURM,,,,,58.0,3.23,14.0,MIN
Matt Boldy,MATT BOLDY,,,,,656.0,42.24,150.0,MIN
Marco Rossi,MARCO ROSSI,,,,,327.0,16.83,74.0,MIN
Daemon Hunt,DAEMON HUNT,,,,,57.0,2.91,13.0,MIN
Brock Faber,BROCK FABER,,,,,580.0,29.02,109.0,MIN
Hunter Haight,HUNTER HAIGHT,,,,,10.0,0.32,2.0,MIN
David Jiricek,DAVID JIRICEK,,,,,161.0,7.27,35.0,MIN
Liam Ohgren,LIAM OHGREN,,,,,85.0,2.36,11.0,MIN
Danila Yurov,DANILA YUROV,,,,,210.0,9.84,39.0,MIN
Zeev Buium,ZEEV BUIUM,,,,,543.0,31.11,112.0,MIN
