PlayerRaw,NormName,G/60,A/60,SOG/60,BLK/60,CF/60,xGF/60,HDCF/60,Team
Zach Bogosian,ZACH BOGOSIAN,,,,,118.0,5.49,25.0,MIN
Jared Spurgeon,JARED SPURGEON,,,,,522.0,28.83,104.0,MIN
Marcus Johansson,MARCUS JOHANSSON,,,,,424.0,21.72,91.0,MIN
Marcus Foligno,MARCUS FOLIGNO,,,,,281.0,11.73,47.0,MIN
Mats Zuccarello,MATS ZUCCARELLO,,,,,221.0,13.94,51.0,MIN
Tyler Pitlick,TYLER PITLICK,,,,,93.0,3.93,16.0,MIN
Vladimir Tarasenko,VLADIMIR TARASENKO,,,,,357.0,20.38,67.0,MIN
Jonas Brodin,JONAS BRODIN,,,,,518.0,24.17,95.0,MIN
Vinnie Hinostroza,VINNIE HINOSTROZA,,,,,233.0,9.68,36.0,MIN
Ryan Hartman,RYAN HARTMAN,,,,,394.0,21.6,82.0,MIN
Jake Middleton,JAKE MIDDLETON,,,,,386.0,19.32,80.0,MIN
Joel Eriksson Ek,JOEL ERIKSSON EK,,,,,561.0,34.8,114.0,MIN
Yakov Trenin,YAKOV TRENIN,,,,,293.0,16.18,60.0,MIN
Kirill Kaprizov,KIRILL KAPRIZOV,,,,,660.0,40.4,142.0,MIN
Ben Jones,BEN JONES,,,,,88.0,2.84,10.0,MIN
Nico Sturm,NICO STURM,,,,,42.0,2.54,8.0,MIN
Matt Boldy,MATT BOLDY,,,,,635.0,41.02,145.0,MIN
Marco Rossi,MARCO ROSSI,,,,,327.0,16.83,74.0,MIN
Daemon Hunt,DAEMON HUNT,,,,,57.0,2.91,13.0,MIN
Brock Faber,BROCK FABER,,,,,561.0,28.27,107.0,MIN
Hunter Haight,HUNTER HAIGHT,,,,,10.0,0.32,2.0,MIN
David Jiricek,DAVID JIRICEK,,,,,161.0,7.27,35.0,MIN
Liam Ohgren,LIAM OHGREN,,,,,79.0,2.25,10.0,MIN
Danila Yurov,DANILA YUROV,,,,,210.0,9.84,39.0,MIN
Zeev Buium,ZEEV BUIUM,,,,,522.0,30.0,106.0,MIN
