PlayerRaw,NormName,G/60,A/60,SOG/60,BLK/60,CF/60,xGF/60,HDCF/60,Team
Brendan Gallagher,BRENDAN GALLAGHER,,,,,369.0,21.07,72.0,MTL
Mike Matheson,MIKE MATHESON,,,,,536.0,30.9,97.0,MTL
Josh Anderson,JOSH ANDERSON,,,,,281.0,14.44,44.0,MTL
Jake Evans,JAKE EVANS,,,,,289.0,14.33,39.0,MTL
Alexandre Carrier,ALEXANDRE CARRIER,,,,,376.0,20.37,63.0,MTL
Patrik Laine,PATRIK LAINE,,,,,56.0,2.15,8.0,MTL
Nick Suzuki,NICK SUZUKI,,,,,613.0,40.78,114.0,MTL
Alexandre Texier,ALEXANDRE TEXIER,,,,,59.0,2.75,11.0,MTL
Joe Veleno,JOE VELENO,,,,,206.0,12.04,33.0,MTL
Noah Dobson,NOAH DOBSON,,,,,542.0,28.75,97.0,MTL
Kirby Dach,KIRBY DACH,,,,,194.0,10.76,41.0,MTL
Cole Caufield,COLE CAUFIELD,,,,,563.0,34.36,109.0,MTL
Jayden Struble,JAYDEN STRUBLE,,,,,282.0,14.35,51.0,MTL
Alex Newhook,ALEX NEWHOOK,,,,,184.0,8.79,35.0,MTL
Kaiden Guhle,KAIDEN GUHLE,,,,,66.0,2.65,12.0,MTL
Zack Bolduc,ZACK BOLDUC,,,,,372.0,22.49,79.0,MTL
Joshua Roy,JOSHUA ROY,,,,,28.0,1.19,3.0,MTL
Oliver Kapanen,OLIVER KAPANEN,,,,,248.0,13.88,55.0,MTL
Arber Xhekaj,ARBER XHEKAJ,,,,,251.0,11.84,44.0,MTL
Owen Beck,OWEN BECK,,,,,18.0,0.46,1.0,MTL
Lane Hutson,LANE HUTSON,,,,,604.0,35.62,117.0,MTL
Juraj Slafkovský,JURAJ SLAFKOVSK,,,,,519.0,33.64,100.0,MTL
Adam Engstrom,ADAM ENGSTROM,,,,,20.0,0.68,1.0,MTL
Jared Davidson,JARED DAVIDSON,,,,,57.0,2.84,6.0,MTL
Florian Xhekaj,FLORIAN XHEKAJ,,,,,29.0,0.97,4.0,MTL
Ivan Demidov,IVAN DEMIDOV,,,,,355.0,20.48,78.0,MTL
