PlayerRaw,NormName,G/60,A/60,SOG/60,BLK/60,CF/60,xGF/60,HDCF/60,Team
Brendan Gallagher,BRENDAN GALLAGHER,,,,,354.0,20.59,71.0,MTL
Mike Matheson,MIKE MATHESON,,,,,508.0,29.69,94.0,MTL
Josh Anderson,JOSH ANDERSON,,,,,266.0,13.86,43.0,MTL
Jake Evans,JAKE EVANS,,,,,273.0,13.87,39.0,MTL
Alexandre Carrier,ALEXANDRE CARRIER,,,,,363.0,19.84,61.0,MTL
Patrik Laine,PATRIK LAINE,,,,,56.0,2.15,8.0,MTL
Nick Suzuki,NICK SUZUKI,,,,,585.0,38.94,109.0,MTL
Alexandre Texier,ALEXANDRE TEXIER,,,,,48.0,2.34,9.0,MTL
Joe Veleno,JOE VELENO,,,,,198.0,11.7,32.0,MTL
Noah Dobson,NOAH DOBSON,,,,,514.0,27.43,93.0,MTL
Kirby Dach,KIRBY DACH,,,,,194.0,10.76,41.0,MTL
Cole Caufield,COLE CAUFIELD,,,,,536.0,32.53,104.0,MTL
Jayden Struble,JAYDEN STRUBLE,,,,,272.0,13.99,51.0,MTL
Alex Newhook,ALEX NEWHOOK,,,,,184.0,8.79,35.0,MTL
Kaiden Guhle,KAIDEN GUHLE,,,,,66.0,2.65,12.0,MTL
Zack Bolduc,ZACK BOLDUC,,,,,361.0,21.99,77.0,MTL
Joshua Roy,JOSHUA ROY,,,,,28.0,1.19,3.0,MTL
Oliver Kapanen,OLIVER KAPANEN,,,,,237.0,13.46,53.0,MTL
Arber Xhekaj,ARBER XHEKAJ,,,,,241.0,11.59,43.0,MTL
Owen Beck,OWEN BECK,,,,,18.0,0.46,1.0,MTL
Lane Hutson,LANE HUTSON,,,,,583.0,34.12,114.0,MTL
Juraj Slafkovský,JURAJ SLAFKOVSK,,,,,491.0,31.78,95.0,MTL
Adam Engstrom,ADAM ENGSTROM,,,,,20.0,0.68,1.0,MTL
Jared Davidson,JARED DAVIDSON,,,,,52.0,2.67,6.0,MTL
Florian Xhekaj,FLORIAN XHEKAJ,,,,,29.0,0.97,4.0,MTL
Ivan Demidov,IVAN DEMIDOV,,,,,344.0,19.53,75.0,MTL
