PlayerRaw,NormName,G/60,A/60,SOG/60,BLK/60,CF/60,xGF/60,HDCF/60,Team
Steven Stamkos,STEVEN STAMKOS,,,,,514.0,30.67,114.0,NSH
Roman Josi,ROMAN JOSI,,,,,384.0,20.25,78.0,NSH
Ryan O'Reilly,RYAN O'REILLY,,,,,576.0,34.48,132.0,NSH
Erik Haula,ERIK HAULA,,,,,399.0,20.24,71.0,NSH
Jonathan Marchessault,JONATHAN MARCHESSAULT,,,,,422.0,23.59,89.0,NSH
Brady Skjei,BRADY SKJEI,,,,,537.0,28.78,104.0,NSH
Filip Forsberg,FILIP FORSBERG,,,,,609.0,34.08,128.0,NSH
Michael McCarron,MICHAEL MCCARRON,,,,,277.0,11.85,47.0,NSH
Michael Bunting,MICHAEL BUNTING,,,,,435.0,20.81,73.0,NSH
Tyson Jost,TYSON JOST,,,,,196.0,7.03,33.0,NSH
Nicolas Hague,NICOLAS HAGUE,,,,,332.0,15.46,67.0,NSH
Nick Perbix,NICK PERBIX,,,,,413.0,19.57,77.0,NSH
Spencer Stastney,SPENCER STASTNEY,,,,,372.0,16.49,71.0,NSH
Cole Smith,COLE SMITH,,,,,132.0,6.07,25.0,NSH
Ozzy Wiesblatt,OZZY WIESBLATT,,,,,214.0,9.99,50.0,NSH
Justin Barron,JUSTIN BARRON,,,,,268.0,13.58,47.0,NSH
Luke Evangelista,LUKE EVANGELISTA,,,,,481.0,25.68,103.0,NSH
Adam Wilsby,ADAM WILSBY,,,,,242.0,10.55,46.0,NSH
Fedor Svechkov,FEDOR SVECHKOV,,,,,286.0,13.72,59.0,NSH
Joakim Kemell,JOAKIM KEMELL,,,,,20.0,0.53,1.0,NSH
Reid Schaefer,REID SCHAEFER,,,,,30.0,1.63,9.0,NSH
Nick Blankenburg,NICK BLANKENBURG,,,,,335.0,17.42,77.0,NSH
Matthew Wood,MATTHEW WOOD,,,,,261.0,13.01,44.0,NSH
Brady Martin,BRADY MARTIN,,,,,30.0,1.71,5.0,NSH
