PlayerRaw,NormName,G/60,A/60,SOG/60,BLK/60,CF/60,xGF/60,HDCF/60,Team
Steven Stamkos,STEVEN STAMKOS,,,,,534.0,31.91,123.0,NSH
Roman Josi,ROMAN JOSI,,,,,414.0,22.53,88.0,NSH
Ryan O'Reilly,RYAN O'REILLY,,,,,596.0,35.92,141.0,NSH
Erik Haula,ERIK HAULA,,,,,419.0,22.22,75.0,NSH
Jonathan Marchessault,JONATHAN MARCHESSAULT,,,,,446.0,24.89,94.0,NSH
Brady Skjei,BRADY SKJEI,,,,,553.0,29.85,107.0,NSH
Filip Forsberg,FILIP FORSBERG,,,,,629.0,35.24,132.0,NSH
Michael McCarron,MICHAEL MCCARRON,,,,,286.0,12.17,48.0,NSH
Michael Bunting,MICHAEL BUNTING,,,,,456.0,23.06,78.0,NSH
Tyson Jost,TYSON JOST,,,,,196.0,7.03,33.0,NSH
Nicolas Hague,NICOLAS HAGUE,,,,,348.0,16.37,71.0,NSH
Nick Perbix,NICK PERBIX,,,,,413.0,19.57,77.0,NSH
Spencer Stastney,SPENCER STASTNEY,,,,,381.0,16.82,72.0,NSH
Cole Smith,COLE SMITH,,,,,132.0,6.07,25.0,NSH
Ozzy Wiesblatt,OZZY WIESBLATT,,,,,214.0,9.99,50.0,NSH
Justin Barron,JUSTIN BARRON,,,,,268.0,13.58,47.0,NSH
Luke Evangelista,LUKE EVANGELISTA,,,,,504.0,28.03,111.0,NSH
Adam Wilsby,ADAM WILSBY,,,,,257.0,11.38,49.0,NSH
Fedor Svechkov,FEDOR SVECHKOV,,,,,299.0,14.34,60.0,NSH
Joakim Kemell,JOAKIM KEMELL,,,,,20.0,0.53,1.0,NSH
Reid Schaefer,REID SCHAEFER,,,,,33.0,1.73,9.0,NSH
Nick Blankenburg,NICK BLANKENBURG,,,,,349.0,18.39,79.0,NSH
Matthew Wood,MATTHEW WOOD,,,,,277.0,14.56,47.0,NSH
Brady Martin,BRADY MARTIN,,,,,30.0,1.71,5.0,NSH
