PlayerRaw,NormName,G/60,A/60,SOG/60,BLK/60,CF/60,xGF/60,HDCF/60,Team
Kyle Palmieri,KYLE PALMIERI,,,,,530.0,34.44,104.0,NYI
Casey Cizikas,CASEY CIZIKAS,,,,,195.0,8.72,33.0,NYI
Anders Lee,ANDERS LEE,,,,,479.0,31.07,116.0,NYI
Jean-Gabriel Pageau,JEAN-GABRIEL PAGEAU,,,,,250.0,15.73,58.0,NYI
Scott Mayfield,SCOTT MAYFIELD,,,,,339.0,19.66,70.0,NYI
Adam Pelech,ADAM PELECH,,,,,493.0,30.07,91.0,NYI
Anthony Duclair,ANTHONY DUCLAIR,,,,,306.0,15.5,63.0,NYI
Jonathan Drouin,JONATHAN DROUIN,,,,,573.0,38.82,106.0,NYI
Bo Horvat,BO HORVAT,,,,,664.0,44.44,131.0,NYI
Ryan Pulock,RYAN PULOCK,,,,,445.0,25.8,88.0,NYI
Tony DeAngelo,TONY DEANGELO,,,,,512.0,25.56,84.0,NYI
Mathew Barzal,MATHEW BARZAL,,,,,678.0,44.51,143.0,NYI
Adam Boqvist,ADAM BOQVIST,,,,,114.0,6.39,26.0,NYI
Alexander Romanov,ALEXANDER ROMANOV,,,,,226.0,9.56,33.0,NYI
Kyle MacLean,KYLE MACLEAN,,,,,89.0,4.22,15.0,NYI
Marshall Warren,MARSHALL WARREN,,,,,20.0,1.07,5.0,NYI
Simon Holmstrom,SIMON HOLMSTROM,,,,,370.0,20.43,72.0,NYI
Emil Heineman,EMIL HEINEMAN,,,,,422.0,25.67,87.0,NYI
Marc Gatcomb,MARC GATCOMB,,,,,4.0,0.02,0.0,NYI
Calum Ritchie,CALUM RITCHIE,,,,,202.0,11.06,38.0,NYI
Travis Mitchell,TRAVIS MITCHELL,,,,,26.0,0.96,2.0,NYI
Maxim Tsyplakov,MAXIM TSYPLAKOV,,,,,133.0,6.74,22.0,NYI
Matthew Schaefer,MATTHEW SCHAEFER,,,,,701.0,43.73,153.0,NYI
Max Shabanov,MAX SHABANOV,,,,,213.0,11.05,41.0,NYI
