PlayerRaw,NormName,G/60,A/60,SOG/60,BLK/60,CF/60,xGF/60,HDCF/60,Team
Kyle Palmieri,KYLE PALMIERI,,,,,530.0,34.44,104.0,NYI
Casey Cizikas,CASEY CIZIKAS,,,,,213.0,9.92,37.0,NYI
Anders Lee,ANDERS LEE,,,,,515.0,33.1,125.0,NYI
Jean-Gabriel Pageau,JEAN-GABRIEL PAGEAU,,,,,250.0,15.73,58.0,NYI
Scott Mayfield,SCOTT MAYFIELD,,,,,364.0,21.67,76.0,NYI
Adam Pelech,ADAM PELECH,,,,,529.0,31.46,94.0,NYI
Anthony Duclair,ANTHONY DUCLAIR,,,,,339.0,17.97,73.0,NYI
Jonathan Drouin,JONATHAN DROUIN,,,,,573.0,38.82,106.0,NYI
Bo Horvat,BO HORVAT,,,,,700.0,47.94,141.0,NYI
Ryan Pulock,RYAN PULOCK,,,,,484.0,27.78,98.0,NYI
Tony DeAngelo,TONY DEANGELO,,,,,544.0,27.18,89.0,NYI
Mathew Barzal,MATHEW BARZAL,,,,,722.0,47.75,158.0,NYI
Adam Boqvist,ADAM BOQVIST,,,,,119.0,6.52,26.0,NYI
Alexander Romanov,ALEXANDER ROMANOV,,,,,226.0,9.56,33.0,NYI
Kyle MacLean,KYLE MACLEAN,,,,,102.0,4.88,19.0,NYI
Marshall Warren,MARSHALL WARREN,,,,,20.0,1.07,5.0,NYI
Simon Holmstrom,SIMON HOLMSTROM,,,,,396.0,22.48,77.0,NYI
Emil Heineman,EMIL HEINEMAN,,,,,456.0,28.43,93.0,NYI
Marc Gatcomb,MARC GATCOMB,,,,,18.0,0.73,4.0,NYI
Calum Ritchie,CALUM RITCHIE,,,,,225.0,12.23,42.0,NYI
Travis Mitchell,TRAVIS MITCHELL,,,,,30.0,1.03,2.0,NYI
Maxim Tsyplakov,MAXIM TSYPLAKOV,,,,,155.0,7.71,27.0,NYI
Matthew Schaefer,MATTHEW SCHAEFER,,,,,757.0,48.45,169.0,NYI
Max Shabanov,MAX SHABANOV,,,,,249.0,13.8,51.0,NYI
