PlayerRaw,NormName,G/60,A/60,SOG/60,BLK/60,CF/60,xGF/60,HDCF/60,Team
Sam Carrick,SAM CARRICK,,,,,271.0,13.09,60.0,NYR
Vincent Trocheck,VINCENT TROCHECK,,,,,307.0,16.95,55.0,NYR
Mika Zibanejad,MIKA ZIBANEJAD,,,,,655.0,36.22,133.0,NYR
J.T. Miller,J T MILLER,,,,,616.0,36.91,142.0,NYR
Carson Soucy,CARSON SOUCY,,,,,327.0,16.15,65.0,NYR
Jonny Brodzinski,JONNY BRODZINSKI,,,,,208.0,11.77,46.0,NYR
Conor Sheary,CONOR SHEARY,,,,,396.0,18.67,87.0,NYR
Artemi Panarin,ARTEMI PANARIN,,,,,781.0,41.56,151.0,NYR
Will Borgen,WILL BORGEN,,,,,322.0,14.79,73.0,NYR
Vladislav Gavrikov,VLADISLAV GAVRIKOV,,,,,629.0,32.02,130.0,NYR
Adam Fox,ADAM FOX,,,,,816.0,47.05,181.0,NYR
Taylor Raddysh,TAYLOR RADDYSH,,,,,296.0,13.44,60.0,NYR
Urho Vaakanainen,URHO VAAKANAINEN,,,,,216.0,8.07,34.0,NYR
Matthew Robertson,MATTHEW ROBERTSON,,,,,277.0,11.6,51.0,NYR
Juuso Parssinen,JUUSO PARSSINEN,,,,,89.0,3.06,15.0,NYR
Adam Edstrom,ADAM EDSTROM,,,,,202.0,8.52,43.0,NYR
Braden Schneider,BRADEN SCHNEIDER,,,,,446.0,23.22,87.0,NYR
Alexis Lafrenière,ALEXIS LAFRENI RE,,,,,589.0,32.7,134.0,NYR
Brett Berard,BRETT BERARD,,,,,75.0,3.9,17.0,NYR
Will Cuylle,WILL CUYLLE,,,,,532.0,30.73,111.0,NYR
Matt Rempe,MATT REMPE,,,,,105.0,4.54,24.0,NYR
Scott Morrow,SCOTT MORROW,,,,,98.0,4.22,18.0,NYR
Brennan Othmann,BRENNAN OTHMANN,,,,,11.0,0.37,3.0,NYR
Jaroslav Chmelar,JAROSLAV CHMELAR,,,,,10.0,0.53,3.0,NYR
Noah Laba,NOAH LABA,,,,,330.0,14.47,64.0,NYR
Gabe Perreault,GABE PERREAULT,,,,,25.0,1.25,7.0,NYR
