PlayerRaw,NormName,G/60,A/60,SOG/60,BLK/60,CF/60,xGF/60,HDCF/60,Team
Sam Carrick,SAM CARRICK,,,,,258.0,12.21,56.0,NYR
Vincent Trocheck,VINCENT TROCHECK,,,,,290.0,14.26,54.0,NYR
Mika Zibanejad,MIKA ZIBANEJAD,,,,,635.0,34.56,127.0,NYR
J.T. Miller,J T MILLER,,,,,598.0,34.15,140.0,NYR
Carson Soucy,CARSON SOUCY,,,,,313.0,15.65,64.0,NYR
Jonny Brodzinski,JONNY BRODZINSKI,,,,,198.0,11.32,44.0,NYR
Conor Sheary,CONOR SHEARY,,,,,387.0,18.36,85.0,NYR
Artemi Panarin,ARTEMI PANARIN,,,,,759.0,38.82,146.0,NYR
Will Borgen,WILL BORGEN,,,,,306.0,14.24,72.0,NYR
Vladislav Gavrikov,VLADISLAV GAVRIKOV,,,,,604.0,28.4,121.0,NYR
Adam Fox,ADAM FOX,,,,,816.0,47.05,181.0,NYR
Taylor Raddysh,TAYLOR RADDYSH,,,,,285.0,12.67,57.0,NYR
Urho Vaakanainen,URHO VAAKANAINEN,,,,,216.0,8.07,34.0,NYR
Matthew Robertson,MATTHEW ROBERTSON,,,,,259.0,10.42,46.0,NYR
Juuso Parssinen,JUUSO PARSSINEN,,,,,89.0,3.06,15.0,NYR
Adam Edstrom,ADAM EDSTROM,,,,,202.0,8.52,43.0,NYR
Braden Schneider,BRADEN SCHNEIDER,,,,,424.0,19.69,79.0,NYR
Alexis Lafrenière,ALEXIS LAFRENI RE,,,,,572.0,31.81,130.0,NYR
Brett Berard,BRETT BERARD,,,,,58.0,2.91,13.0,NYR
Will Cuylle,WILL CUYLLE,,,,,519.0,29.9,106.0,NYR
Matt Rempe,MATT REMPE,,,,,105.0,4.54,24.0,NYR
Scott Morrow,SCOTT MORROW,,,,,77.0,3.1,14.0,NYR
Brennan Othmann,BRENNAN OTHMANN,,,,,11.0,0.37,3.0,NYR
Jaroslav Chmelar,JAROSLAV CHMELAR,,,,,10.0,0.53,3.0,NYR
Noah Laba,NOAH LABA,,,,,319.0,13.81,61.0,NYR
Gabe Perreault,GABE PERREAULT,,,,,25.0,1.25,7.0,NYR
