PlayerRaw,NormName,G/60,A/60,SOG/60,BLK/60,CF/60,xGF/60,HDCF/60,Team
Claude Giroux,CLAUDE GIROUX,,,,,442.0,27.53,97.0,OTT
David Perron,DAVID PERRON,,,,,332.0,18.45,65.0,OTT
Lars Eller,LARS ELLER,,,,,300.0,12.69,48.0,OTT
Nick Jensen,NICK JENSEN,,,,,378.0,18.27,74.0,OTT
Nick Cousins,NICK COUSINS,,,,,234.0,9.99,46.0,OTT
Kurtis MacDermid,KURTIS MACDERMID,,,,,19.0,0.68,2.0,OTT
Michael Amadio,MICHAEL AMADIO,,,,,365.0,18.63,81.0,OTT
Hayden Hodgson,HAYDEN HODGSON,,,,,50.0,2.25,7.0,OTT
Thomas Chabot,THOMAS CHABOT,,,,,391.0,20.86,79.0,OTT
Fabian Zetterlund,FABIAN ZETTERLUND,,,,,374.0,17.72,72.0,OTT
Drake Batherson,DRAKE BATHERSON,,,,,443.0,22.94,88.0,OTT
Olle Lycksell,OLLE LYCKSELL,,,,,50.0,1.7,9.0,OTT
Brady Tkachuk,BRADY TKACHUK,,,,,145.0,7.12,27.0,OTT
Dylan Cozens,DYLAN COZENS,,,,,468.0,23.89,91.0,OTT
Arthur Kaliyev,ARTHUR KALIYEV,,,,,39.0,1.99,8.0,OTT
Shane Pinto,SHANE PINTO,,,,,466.0,27.25,104.0,OTT
Jordan Spence,JORDAN SPENCE,,,,,354.0,16.96,73.0,OTT
Ridly Greig,RIDLY GREIG,,,,,308.0,17.43,63.0,OTT
Tyler Kleven,TYLER KLEVEN,,,,,343.0,16.73,70.0,OTT
Jake Sanderson,JAKE SANDERSON,,,,,592.0,30.47,121.0,OTT
Tim Stützle,TIM ST TZLE,,,,,555.0,28.7,106.0,OTT
Donovan Sebrango,DONOVAN SEBRANGO,,,,,23.0,0.4,1.0,OTT
Artem Zub,ARTEM ZUB,,,,,387.0,18.67,78.0,OTT
Stephen Halliday,STEPHEN HALLIDAY,,,,,21.0,1.23,4.0,OTT
Nikolas Matinpalo,NIKOLAS MATINPALO,,,,,219.0,11.48,41.0,OTT
