PlayerRaw,NormName,G/60,A/60,SOG/60,BLK/60,CF/60,xGF/60,HDCF/60,Team
Claude Giroux,CLAUDE GIROUX,,,,,450.0,27.9,99.0,OTT
David Perron,DAVID PERRON,,,,,351.0,19.8,69.0,OTT
Lars Eller,LARS ELLER,,,,,300.0,12.69,48.0,OTT
Nick Jensen,NICK JENSEN,,,,,395.0,19.71,78.0,OTT
Nick Cousins,NICK COUSINS,,,,,246.0,10.46,49.0,OTT
Kurtis MacDermid,KURTIS MACDERMID,,,,,19.0,0.68,2.0,OTT
Michael Amadio,MICHAEL AMADIO,,,,,370.0,18.86,82.0,OTT
Hayden Hodgson,HAYDEN HODGSON,,,,,50.0,2.25,7.0,OTT
Thomas Chabot,THOMAS CHABOT,,,,,391.0,20.86,79.0,OTT
Dennis Gilbert,DENNIS GILBERT,,,,,17.0,1.44,4.0,OTT
Fabian Zetterlund,FABIAN ZETTERLUND,,,,,391.0,18.74,75.0,OTT
Drake Batherson,DRAKE BATHERSON,,,,,468.0,24.62,92.0,OTT
Olle Lycksell,OLLE LYCKSELL,,,,,50.0,1.7,9.0,OTT
Brady Tkachuk,BRADY TKACHUK,,,,,169.0,8.29,29.0,OTT
Dylan Cozens,DYLAN COZENS,,,,,491.0,25.48,95.0,OTT
Arthur Kaliyev,ARTHUR KALIYEV,,,,,39.0,1.99,8.0,OTT
Shane Pinto,SHANE PINTO,,,,,467.0,27.26,104.0,OTT
Jordan Spence,JORDAN SPENCE,,,,,373.0,17.84,76.0,OTT
Ridly Greig,RIDLY GREIG,,,,,318.0,17.99,66.0,OTT
Tyler Kleven,TYLER KLEVEN,,,,,359.0,17.5,72.0,OTT
Jake Sanderson,JAKE SANDERSON,,,,,614.0,31.42,124.0,OTT
Tim Stützle,TIM ST TZLE,,,,,580.0,30.01,109.0,OTT
Donovan Sebrango,DONOVAN SEBRANGO,,,,,23.0,0.4,1.0,OTT
Artem Zub,ARTEM ZUB,,,,,387.0,18.67,78.0,OTT
Stephen Halliday,STEPHEN HALLIDAY,,,,,31.0,1.67,7.0,OTT
Nikolas Matinpalo,NIKOLAS MATINPALO,,,,,235.0,12.24,43.0,OTT
