PlayerRaw,NormName,G/60,A/60,SOG/60,BLK/60,CF/60,xGF/60,HDCF/60,Team
Nicolas Deslauriers,NICOLAS DESLAURIERS,,,,,61.0,2.7,12.0,PHI
Nick Seeler,NICK SEELER,,,,,370.0,18.4,75.0,PHI
Sean Couturier,SEAN COUTURIER,,,,,390.0,19.65,76.0,PHI
Garnet Hathaway,GARNET HATHAWAY,,,,,158.0,6.13,28.0,PHI
Travis Sanheim,TRAVIS SANHEIM,,,,,499.0,31.26,109.0,PHI
Christian Dvorak,CHRISTIAN DVORAK,,,,,336.0,20.13,73.0,PHI
Travis Konecny,TRAVIS KONECNY,,,,,421.0,22.63,64.0,PHI
Noah Juulsen,NOAH JUULSEN,,,,,202.0,9.38,45.0,PHI
Rodrigo Abols,RODRIGO ABOLS,,,,,159.0,6.0,27.0,PHI
Carl Grundstrom,CARL GRUNDSTROM,,,,,6.0,0.19,1.0,PHI
Owen Tippett,OWEN TIPPETT,,,,,395.0,21.84,82.0,PHI
Noah Cates,NOAH CATES,,,,,355.0,24.62,84.0,PHI
Adam Ginning,ADAM GINNING,,,,,37.0,1.48,6.0,PHI
Egor Zamula,EGOR ZAMULA,,,,,131.0,6.03,21.0,PHI
Trevor Zegras,TREVOR ZEGRAS,,,,,456.0,27.23,108.0,PHI
Cam York,CAM YORK,,,,,416.0,24.99,91.0,PHI
Bobby Brink,BOBBY BRINK,,,,,371.0,23.47,89.0,PHI
Jacob Gaucher,JACOB GAUCHER,,,,,23.0,0.77,5.0,PHI
Emil Andrae,EMIL ANDRAE,,,,,205.0,10.12,45.0,PHI
Jamie Drysdale,JAMIE DRYSDALE,,,,,500.0,24.02,101.0,PHI
Tyson Foerster,TYSON FOERSTER,,,,,307.0,20.7,69.0,PHI
Nikita Grebenkin,NIKITA GREBENKIN,,,,,122.0,4.58,20.0,PHI
Matvei Michkov,MATVEI MICHKOV,,,,,391.0,20.55,77.0,PHI
Jett Luchanko,JETT LUCHANKO,,,,,20.0,1.09,5.0,PHI
