PlayerRaw,NormName,G/60,A/60,SOG/60,BLK/60,CF/60,xGF/60,HDCF/60,Team
Nicolas Deslauriers,NICOLAS DESLAURIERS,,,,,68.0,3.12,15.0,PHI
Nick Seeler,NICK SEELER,,,,,386.0,19.59,83.0,PHI
Sean Couturier,SEAN COUTURIER,,,,,422.0,22.6,90.0,PHI
Garnet Hathaway,GARNET HATHAWAY,,,,,170.0,7.15,33.0,PHI
Travis Sanheim,TRAVIS SANHEIM,,,,,527.0,32.89,117.0,PHI
Christian Dvorak,CHRISTIAN DVORAK,,,,,345.0,20.56,75.0,PHI
Travis Konecny,TRAVIS KONECNY,,,,,442.0,23.92,69.0,PHI
Noah Juulsen,NOAH JUULSEN,,,,,202.0,9.38,45.0,PHI
Rodrigo Abols,RODRIGO ABOLS,,,,,170.0,6.83,31.0,PHI
Carl Grundstrom,CARL GRUNDSTROM,,,,,6.0,0.19,1.0,PHI
Owen Tippett,OWEN TIPPETT,,,,,424.0,23.56,88.0,PHI
Noah Cates,NOAH CATES,,,,,371.0,26.3,91.0,PHI
Adam Ginning,ADAM GINNING,,,,,37.0,1.48,6.0,PHI
Egor Zamula,EGOR ZAMULA,,,,,144.0,6.55,24.0,PHI
Trevor Zegras,TREVOR ZEGRAS,,,,,475.0,28.2,112.0,PHI
Cam York,CAM YORK,,,,,425.0,25.43,93.0,PHI
Bobby Brink,BOBBY BRINK,,,,,387.0,25.14,97.0,PHI
Jacob Gaucher,JACOB GAUCHER,,,,,23.0,0.77,5.0,PHI
Emil Andrae,EMIL ANDRAE,,,,,233.0,13.01,57.0,PHI
Jamie Drysdale,JAMIE DRYSDALE,,,,,532.0,26.88,113.0,PHI
Tyson Foerster,TYSON FOERSTER,,,,,307.0,20.7,69.0,PHI
Nikita Grebenkin,NIKITA GREBENKIN,,,,,134.0,5.67,25.0,PHI
Matvei Michkov,MATVEI MICHKOV,,,,,419.0,22.2,84.0,PHI
Jett Luchanko,JETT LUCHANKO,,,,,20.0,1.09,5.0,PHI
