PlayerRaw,NormName,G/60,A/60,SOG/60,BLK/60,CF/60,xGF/60,HDCF/60,Team
Evgeni Malkin,EVGENI MALKIN,,,,,463.0,35.02,124.0,PIT
Sidney Crosby,SIDNEY CROSBY,,,,,548.0,37.69,143.0,PIT
Kris Letang,KRIS LETANG,,,,,549.0,31.92,128.0,PIT
Erik Karlsson,ERIK KARLSSON,,,,,597.0,37.77,141.0,PIT
Kevin Hayes,KEVIN HAYES,,,,,138.0,7.51,35.0,PIT
Bryan Rust,BRYAN RUST,,,,,487.0,33.11,125.0,PIT
Rickard Rakell,RICKARD RAKELL,,,,,153.0,11.19,42.0,PIT
Mathew Dumba,MATHEW DUMBA,,,,,135.0,6.0,26.0,PIT
Connor Clifton,CONNOR CLIFTON,,,,,137.0,6.25,29.0,PIT
Ryan Graves,RYAN GRAVES,,,,,165.0,6.69,28.0,PIT
Anthony Mantha,ANTHONY MANTHA,,,,,358.0,22.17,88.0,PIT
Danton Heinen,DANTON HEINEN,,,,,117.0,5.81,26.0,PIT
Bokondji Imama,BOKONDJI IMAMA,,,,,19.0,0.73,3.0,PIT
Tommy Novak,TOMMY NOVAK,,,,,344.0,17.71,72.0,PIT
Parker Wotherspoon,PARKER WOTHERSPOON,,,,,447.0,23.47,98.0,PIT
Caleb Jones,CALEB JONES,,,,,101.0,5.48,25.0,PIT
Noel Acciari,NOEL ACCIARI,,,,,121.0,7.73,25.0,PIT
Ryan Shea,RYAN SHEA,,,,,466.0,27.8,108.0,PIT
Joona Koppanen,JOONA KOPPANEN,,,,,103.0,4.56,19.0,PIT
Justin Brazeau,JUSTIN BRAZEAU,,,,,138.0,10.08,44.0,PIT
Filip Hallander,FILIP HALLANDER,,,,,175.0,10.19,44.0,PIT
Connor Dewar,CONNOR DEWAR,,,,,286.0,12.99,49.0,PIT
Blake Lizotte,BLAKE LIZOTTE,,,,,310.0,14.5,66.0,PIT
Philip Tomasino,PHILIP TOMASINO,,,,,94.0,3.81,15.0,PIT
Sam Poulin,SAM POULIN,,,,,28.0,0.87,2.0,PIT
Tristan Broz,TRISTAN BROZ,,,,,7.0,0.11,0.0,PIT
Ville Koivunen,VILLE KOIVUNEN,,,,,213.0,9.07,40.0,PIT
Rutger McGroarty,RUTGER MCGROARTY,,,,,22.0,0.9,4.0,PIT
Owen Pickering,OWEN PICKERING,,,,,44.0,1.95,8.0,PIT
Harrison Brunicke,HARRISON BRUNICKE,,,,,129.0,6.99,34.0,PIT
Ben Kindel,BEN KINDEL,,,,,408.0,23.96,95.0,PIT
