PlayerRaw,NormName,G/60,A/60,SOG/60,BLK/60,CF/60,xGF/60,HDCF/60,Team
Jordan Eberle,JORDAN EBERLE,,,,,506.0,29.46,92.0,SEA
Jaden Schwartz,JADEN SCHWARTZ,,,,,361.0,20.97,64.0,SEA
Adam Larsson,ADAM LARSSON,,,,,347.0,18.43,59.0,SEA
Jamie Oleksiak,JAMIE OLEKSIAK,,,,,280.0,12.37,35.0,SEA
Chandler Stephenson,CHANDLER STEPHENSON,,,,,432.0,26.1,77.0,SEA
John Hayden,JOHN HAYDEN,,,,,14.0,0.49,0.0,SEA
Frederic Gaudreau,FREDERIC GAUDREAU,,,,,102.0,3.59,12.0,SEA
Jared McCann,JARED MCCANN,,,,,158.0,10.31,39.0,SEA
Brandon Montour,BRANDON MONTOUR,,,,,460.0,23.19,81.0,SEA
Vince Dunn,VINCE DUNN,,,,,522.0,27.35,92.0,SEA
Mason Marchment,MASON MARCHMENT,,,,,333.0,17.51,65.0,SEA
Ryan Lindgren,RYAN LINDGREN,,,,,366.0,14.91,47.0,SEA
Joshua Mahura,JOSHUA MAHURA,,,,,136.0,6.68,27.0,SEA
Cale Fleury,CALE FLEURY,,,,,49.0,2.28,9.0,SEA
Eeli Tolvanen,EELI TOLVANEN,,,,,369.0,16.41,61.0,SEA
Kaapo Kakko,KAAPO KAKKO,,,,,99.0,4.65,15.0,SEA
Tye Kartye,TYE KARTYE,,,,,179.0,7.39,25.0,SEA
Matty Beniers,MATTY BENIERS,,,,,499.0,26.85,90.0,SEA
Ryan Winterton,RYAN WINTERTON,,,,,181.0,8.26,27.0,SEA
Ryker Evans,RYKER EVANS,,,,,160.0,6.17,23.0,SEA
Jani Nyman,JANI NYMAN,,,,,133.0,5.09,19.0,SEA
Shane Wright,SHANE WRIGHT,,,,,301.0,16.46,60.0,SEA
Ben Meyers,BEN MEYERS,,,,,74.0,2.85,6.0,SEA
Oscar Fisker Molgaard,OSCAR FISKER MOLGAARD,,,,,5.0,0.21,2.0,SEA
Berkly Catton,BERKLY CATTON,,,,,230.0,10.26,32.0,SEA
