PlayerRaw,NormName,G/60,A/60,SOG/60,BLK/60,CF/60,xGF/60,HDCF/60,Team
Jordan Eberle,JORDAN EBERLE,,,,,558.0,32.2,101.0,SEA
Jaden Schwartz,JADEN SCHWARTZ,,,,,361.0,20.97,64.0,SEA
Adam Larsson,ADAM LARSSON,,,,,393.0,20.04,65.0,SEA
Jamie Oleksiak,JAMIE OLEKSIAK,,,,,299.0,12.96,36.0,SEA
Chandler Stephenson,CHANDLER STEPHENSON,,,,,477.0,28.21,85.0,SEA
John Hayden,JOHN HAYDEN,,,,,14.0,0.49,0.0,SEA
Frederic Gaudreau,FREDERIC GAUDREAU,,,,,134.0,4.67,15.0,SEA
Jared McCann,JARED MCCANN,,,,,202.0,12.61,45.0,SEA
Brandon Montour,BRANDON MONTOUR,,,,,523.0,26.72,93.0,SEA
Vince Dunn,VINCE DUNN,,,,,585.0,29.89,101.0,SEA
Mason Marchment,MASON MARCHMENT,,,,,356.0,18.71,72.0,SEA
Ryan Lindgren,RYAN LINDGREN,,,,,420.0,17.87,58.0,SEA
Joshua Mahura,JOSHUA MAHURA,,,,,147.0,6.88,27.0,SEA
Cale Fleury,CALE FLEURY,,,,,49.0,2.28,9.0,SEA
Eeli Tolvanen,EELI TOLVANEN,,,,,404.0,17.72,67.0,SEA
Kaapo Kakko,KAAPO KAKKO,,,,,141.0,6.47,20.0,SEA
Tye Kartye,TYE KARTYE,,,,,210.0,8.57,28.0,SEA
Matty Beniers,MATTY BENIERS,,,,,546.0,29.14,97.0,SEA
Ryan Winterton,RYAN WINTERTON,,,,,211.0,9.58,30.0,SEA
Ryker Evans,RYKER EVANS,,,,,191.0,7.73,26.0,SEA
Jani Nyman,JANI NYMAN,,,,,152.0,6.31,23.0,SEA
Shane Wright,SHANE WRIGHT,,,,,341.0,18.34,65.0,SEA
Ben Meyers,BEN MEYERS,,,,,74.0,2.85,6.0,SEA
Oscar Fisker Molgaard,OSCAR FISKER MOLGAARD,,,,,5.0,0.21,2.0,SEA
Berkly Catton,BERKLY CATTON,,,,,258.0,11.09,34.0,SEA
