PlayerRaw,NormName,G/60,A/60,SOG/60,BLK/60,CF/60,xGF/60,HDCF/60,Team
Brayden Schenn,BRAYDEN SCHENN,,,,,443.0,22.71,86.0,STL
Justin Faulk,JUSTIN FAULK,,,,,554.0,28.65,120.0,STL
Nick Bjugstad,NICK BJUGSTAD,,,,,192.0,9.93,47.0,STL
Cam Fowler,CAM FOWLER,,,,,619.0,32.87,132.0,STL
Colton Parayko,COLTON PARAYKO,,,,,475.0,25.21,100.0,STL
Oskar Sundqvist,OSKAR SUNDQVIST,,,,,189.0,8.3,40.0,STL
Pavel Buchnevich,PAVEL BUCHNEVICH,,,,,472.0,25.44,96.0,STL
Nathan Walker,NATHAN WALKER,,,,,235.0,12.06,60.0,STL
Mathieu Joseph,MATHIEU JOSEPH,,,,,206.0,10.39,49.0,STL
Jordan Kyrou,JORDAN KYROU,,,,,470.0,24.77,94.0,STL
Robert Thomas,ROBERT THOMAS,,,,,405.0,21.79,87.0,STL
Alexandre Texier,ALEXANDRE TEXIER,,,,,70.0,3.03,14.0,STL
Alexey Toropchenko,ALEXEY TOROPCHENKO,,,,,126.0,7.4,29.0,STL
Pius Suter,PIUS SUTER,,,,,395.0,23.3,98.0,STL
Tyler Tucker,TYLER TUCKER,,,,,239.0,10.33,49.0,STL
Philip Broberg,PHILIP BROBERG,,,,,482.0,25.35,108.0,STL
Hunter Skinner,HUNTER SKINNER,,,,,5.0,0.25,1.0,STL
Dylan Holloway,DYLAN HOLLOWAY,,,,,473.0,24.87,87.0,STL
Jake Neighbours,JAKE NEIGHBOURS,,,,,215.0,10.25,46.0,STL
Matthew Kessel,MATTHEW KESSEL,,,,,150.0,6.75,33.0,STL
Logan Mailloux,LOGAN MAILLOUX,,,,,150.0,6.26,31.0,STL
Jimmy Snuggerud,JIMMY SNUGGERUD,,,,,401.0,23.28,89.0,STL
Dalibor Dvorsky,DALIBOR DVORSKY,,,,,237.0,13.83,46.0,STL
