PlayerRaw,NormName,G/60,A/60,SOG/60,BLK/60,CF/60,xGF/60,HDCF/60,Team
Brayden Schenn,BRAYDEN SCHENN,,,,,466.0,23.65,89.0,STL
Justin Faulk,JUSTIN FAULK,,,,,566.0,29.24,123.0,STL
Nick Bjugstad,NICK BJUGSTAD,,,,,207.0,10.47,49.0,STL
Cam Fowler,CAM FOWLER,,,,,652.0,34.41,137.0,STL
Colton Parayko,COLTON PARAYKO,,,,,504.0,27.46,108.0,STL
Oskar Sundqvist,OSKAR SUNDQVIST,,,,,205.0,8.9,42.0,STL
Pavel Buchnevich,PAVEL BUCHNEVICH,,,,,487.0,26.04,97.0,STL
Nathan Walker,NATHAN WALKER,,,,,235.0,12.06,60.0,STL
Mathieu Joseph,MATHIEU JOSEPH,,,,,224.0,10.99,51.0,STL
Jordan Kyrou,JORDAN KYROU,,,,,497.0,26.85,103.0,STL
Robert Thomas,ROBERT THOMAS,,,,,421.0,22.63,89.0,STL
Alexandre Texier,ALEXANDRE TEXIER,,,,,70.0,3.03,14.0,STL
Alexey Toropchenko,ALEXEY TOROPCHENKO,,,,,126.0,7.4,29.0,STL
Pius Suter,PIUS SUTER,,,,,416.0,25.15,106.0,STL
Tyler Tucker,TYLER TUCKER,,,,,252.0,11.01,53.0,STL
Philip Broberg,PHILIP BROBERG,,,,,508.0,26.87,112.0,STL
Hunter Skinner,HUNTER SKINNER,,,,,5.0,0.25,1.0,STL
Dylan Holloway,DYLAN HOLLOWAY,,,,,499.0,26.96,96.0,STL
Jake Neighbours,JAKE NEIGHBOURS,,,,,228.0,10.82,47.0,STL
Matthew Kessel,MATTHEW KESSEL,,,,,150.0,6.75,33.0,STL
Logan Mailloux,LOGAN MAILLOUX,,,,,176.0,7.2,33.0,STL
Aleksanteri Kaskimaki,ALEKSANTERI KASKIMAKI,,,,,7.0,0.32,0.0,STL
Jimmy Snuggerud,JIMMY SNUGGERUD,,,,,401.0,23.28,89.0,STL
Dalibor Dvorsky,DALIBOR DVORSKY,,,,,251.0,14.28,46.0,STL
