PlayerRaw,NormName,G/60,A/60,SOG/60,BLK/60,CF/60,xGF/60,HDCF/60,Team
John Tavares,JOHN TAVARES,,,,,573.0,38.87,146.0,TOR
Oliver Ekman-Larsson,OLIVER EKMAN-LARSSON,,,,,566.0,31.71,138.0,TOR
Chris Tanev,CHRIS TANEV,,,,,100.0,5.95,18.0,TOR
Calle Jarnkrok,CALLE JARNKROK,,,,,128.0,5.52,23.0,TOR
Morgan Rielly,MORGAN RIELLY,,,,,654.0,37.02,152.0,TOR
Scott Laughton,SCOTT LAUGHTON,,,,,79.0,3.61,13.0,TOR
Jake McCabe,JAKE MCCABE,,,,,407.0,24.79,94.0,TOR
Max Domi,MAX DOMI,,,,,355.0,20.11,84.0,TOR
Dakota Mermis,DAKOTA MERMIS,,,,,111.0,5.21,22.0,TOR
William Nylander,WILLIAM NYLANDER,,,,,519.0,35.77,140.0,TOR
Dakota Joshua,DAKOTA JOSHUA,,,,,251.0,11.06,49.0,TOR
Sammy Blais,SAMMY BLAIS,,,,,45.0,2.37,10.0,TOR
Brandon Carlo,BRANDON CARLO,,,,,278.0,13.73,49.0,TOR
Nicolas Roy,NICOLAS ROY,,,,,269.0,14.53,60.0,TOR
Steven Lorentz,STEVEN LORENTZ,,,,,168.0,9.24,32.0,TOR
Philippe Myers,PHILIPPE MYERS,,,,,142.0,5.98,23.0,TOR
Auston Matthews,AUSTON MATTHEWS,,,,,478.0,33.11,118.0,TOR
Troy Stecher,TROY STECHER,,,,,133.0,8.58,35.0,TOR
Simon Benoit,SIMON BENOIT,,,,,295.0,15.67,60.0,TOR
Nicholas Robertson,NICHOLAS ROBERTSON,,,,,281.0,14.64,62.0,TOR
Matias Maccelli,MATIAS MACCELLI,,,,,262.0,13.37,63.0,TOR
Bobby McMann,BOBBY MCMANN,,,,,395.0,19.0,76.0,TOR
Matthew Knies,MATTHEW KNIES,,,,,496.0,32.28,125.0,TOR
Easton Cowan,EASTON COWAN,,,,,313.0,16.97,65.0,TOR
Jacob Quillan,JACOB QUILLAN,,,,,9.0,0.06,1.0,TOR
