PlayerRaw,NormName,G/60,A/60,SOG/60,BLK/60,CF/60,xGF/60,HDCF/60,Team
John Tavares,JOHN TAVARES,,,,,581.0,39.25,148.0,TOR
Oliver Ekman-Larsson,OLIVER EKMAN-LARSSON,,,,,588.0,32.43,141.0,TOR
Chris Tanev,CHRIS TANEV,,,,,100.0,5.95,18.0,TOR
Calle Jarnkrok,CALLE JARNKROK,,,,,128.0,5.52,23.0,TOR
Morgan Rielly,MORGAN RIELLY,,,,,677.0,37.89,156.0,TOR
Scott Laughton,SCOTT LAUGHTON,,,,,88.0,3.83,13.0,TOR
Jake McCabe,JAKE MCCABE,,,,,428.0,25.41,97.0,TOR
Max Domi,MAX DOMI,,,,,373.0,20.88,89.0,TOR
Dakota Mermis,DAKOTA MERMIS,,,,,111.0,5.21,22.0,TOR
William Nylander,WILLIAM NYLANDER,,,,,531.0,36.24,142.0,TOR
Dakota Joshua,DAKOTA JOSHUA,,,,,265.0,11.27,50.0,TOR
Sammy Blais,SAMMY BLAIS,,,,,45.0,2.37,10.0,TOR
Brandon Carlo,BRANDON CARLO,,,,,278.0,13.73,49.0,TOR
Nicolas Roy,NICOLAS ROY,,,,,286.0,14.86,61.0,TOR
Steven Lorentz,STEVEN LORENTZ,,,,,173.0,9.38,32.0,TOR
Philippe Myers,PHILIPPE MYERS,,,,,145.0,6.0,23.0,TOR
Auston Matthews,AUSTON MATTHEWS,,,,,498.0,33.88,122.0,TOR
Troy Stecher,TROY STECHER,,,,,150.0,9.26,40.0,TOR
Simon Benoit,SIMON BENOIT,,,,,302.0,15.77,60.0,TOR
Nicholas Robertson,NICHOLAS ROBERTSON,,,,,288.0,14.86,62.0,TOR
Matias Maccelli,MATIAS MACCELLI,,,,,262.0,13.37,63.0,TOR
Bobby McMann,BOBBY MCMANN,,,,,405.0,19.13,76.0,TOR
Matthew Knies,MATTHEW KNIES,,,,,516.0,33.05,130.0,TOR
Easton Cowan,EASTON COWAN,,,,,325.0,17.43,68.0,TOR
Jacob Quillan,JACOB QUILLAN,,,,,9.0,0.06,1.0,TOR
