PlayerRaw,NormName,G/60,A/60,SOG/60,BLK/60,CF/60,xGF/60,HDCF/60,Team
Ian Cole,IAN COLE,,,,,442.0,23.82,87.0,UTA
Andrew Agozzino,ANDREW AGOZZINO,,,,,5.0,0.46,1.0,UTA
Olli Määttä,OLLI M TT,,,,,152.0,7.8,31.0,UTA
Liam O'Brien,LIAM O'BRIEN,,,,,72.0,3.82,19.0,UTA
Nate Schmidt,NATE SCHMIDT,,,,,593.0,32.55,129.0,UTA
Nick Schmaltz,NICK SCHMALTZ,,,,,559.0,35.13,116.0,UTA
Lawson Crouse,LAWSON CROUSE,,,,,399.0,20.37,88.0,UTA
John Marino,JOHN MARINO,,,,,548.0,27.39,118.0,UTA
Kevin Stenlund,KEVIN STENLUND,,,,,320.0,13.73,50.0,UTA
Kevin Rooney,KEVIN ROONEY,,,,,8.0,0.25,1.0,UTA
Brandon Tanev,BRANDON TANEV,,,,,209.0,8.69,36.0,UTA
Clayton Keller,CLAYTON KELLER,,,,,595.0,37.92,132.0,UTA
Mikhail Sergachev,MIKHAIL SERGACHEV,,,,,691.0,39.71,132.0,UTA
Michael Carcone,MICHAEL CARCONE,,,,,361.0,17.46,75.0,UTA
Kailer Yamamoto,KAILER YAMAMOTO,,,,,240.0,11.31,41.0,UTA
Nick DeSimone,NICK DESIMONE,,,,,158.0,6.92,26.0,UTA
Sean Durzi,SEAN DURZI,,,,,155.0,7.92,31.0,UTA
Barrett Hayton,BARRETT HAYTON,,,,,385.0,21.57,70.0,UTA
Jack McBain,JACK MCBAIN,,,,,372.0,20.09,86.0,UTA
JJ Peterka,JJ PETERKA,,,,,468.0,24.92,98.0,UTA
Dylan Guenther,DYLAN GUENTHER,,,,,572.0,31.96,111.0,UTA
Logan Cooley,LOGAN COOLEY,,,,,561.0,35.0,125.0,UTA
Maveric Lamoureux,MAVERIC LAMOUREUX,,,,,29.0,1.02,6.0,UTA
Dmitri Simashev,DMITRI SIMASHEV,,,,,308.0,16.1,65.0,UTA
Daniil But,DANIIL BUT,,,,,29.0,1.63,6.0,UTA
