PlayerRaw,NormName,G/60,A/60,SOG/60,BLK/60,CF/60,xGF/60,HDCF/60,Team
Tyler Myers,TYLER MYERS,,,,,433.0,22.0,79.0,VAN
Evander Kane,EVANDER KANE,,,,,515.0,28.05,109.0,VAN
Derek Forbort,DEREK FORBORT,,,,,8.0,0.35,1.0,VAN
Joseph LaBate,JOSEPH LABATE,,,,,10.0,0.45,3.0,VAN
Mackenzie MacEachern,MACKENZIE MACEACHERN,,,,,66.0,2.12,11.0,VAN
Teddy Blueger,TEDDY BLUEGER,,,,,13.0,0.71,2.0,VAN
Marcus Pettersson,MARCUS PETTERSSON,,,,,413.0,19.97,78.0,VAN
Brock Boeser,BROCK BOESER,,,,,571.0,37.61,133.0,VAN
Jake DeBrusk,JAKE DEBRUSK,,,,,544.0,37.73,142.0,VAN
Conor Garland,CONOR GARLAND,,,,,508.0,33.71,136.0,VAN
Filip Hronek,FILIP HRONEK,,,,,677.0,34.67,132.0,VAN
Elias Pettersson,ELIAS PETTERSSON,,,,,644.0,42.33,162.0,VAN
P.O Joseph,P O JOSEPH,,,,,121.0,4.38,18.0,VAN
Filip Chytil,FILIP CHYTIL,,,,,99.0,6.08,23.0,VAN
David Kampf,DAVID KAMPF,,,,,102.0,4.85,16.0,VAN
Kiefer Sherwood,KIEFER SHERWOOD,,,,,459.0,25.93,90.0,VAN
Quinn Hughes,QUINN HUGHES,,,,,806.0,52.0,206.0,VAN
Linus Karlsson,LINUS KARLSSON,,,,,308.0,17.54,74.0,VAN
Drew O'Connor,DREW O'CONNOR,,,,,316.0,13.82,57.0,VAN
Lukas Reichel,LUKAS REICHEL,,,,,161.0,7.13,24.0,VAN
Nils Aman,NILS AMAN,,,,,15.0,0.59,3.0,VAN
Aatu Raty,AATU RATY,,,,,272.0,11.85,50.0,VAN
Arshdeep Bains,ARSHDEEP BAINS,,,,,183.0,8.92,43.0,VAN
Jonathan Lekkerimäki,JONATHAN LEKKERIM KI,,,,,67.0,2.62,7.0,VAN
Elias Pettersson,ELIAS PETTERSSON,,,,,244.0,10.13,39.0,VAN
Victor Mancini,VICTOR MANCINI,,,,,46.0,2.72,11.0,VAN
Max Sasson,MAX SASSON,,,,,250.0,10.8,47.0,VAN
Tom Willander,TOM WILLANDER,,,,,235.0,12.23,46.0,VAN
Braeden Cootes,BRAEDEN COOTES,,,,,21.0,0.44,0.0,VAN
