PlayerRaw,NormName,G/60,A/60,SOG/60,BLK/60,CF/60,xGF/60,HDCF/60,Team
Tyler Myers,TYLER MYERS,,,,,446.0,22.37,80.0,VAN
Evander Kane,EVANDER KANE,,,,,537.0,28.7,110.0,VAN
Derek Forbort,DEREK FORBORT,,,,,8.0,0.35,1.0,VAN
Joseph LaBate,JOSEPH LABATE,,,,,10.0,0.45,3.0,VAN
Mackenzie MacEachern,MACKENZIE MACEACHERN,,,,,66.0,2.12,11.0,VAN
Teddy Blueger,TEDDY BLUEGER,,,,,13.0,0.71,2.0,VAN
Marcus Pettersson,MARCUS PETTERSSON,,,,,429.0,20.36,79.0,VAN
Brock Boeser,BROCK BOESER,,,,,586.0,38.16,135.0,VAN
Jake DeBrusk,JAKE DEBRUSK,,,,,553.0,37.94,142.0,VAN
Conor Garland,CONOR GARLAND,,,,,526.0,34.47,139.0,VAN
Filip Hronek,FILIP HRONEK,,,,,697.0,35.41,134.0,VAN
Elias Pettersson,ELIAS PETTERSSON,,,,,644.0,42.33,162.0,VAN
P.O Joseph,P O JOSEPH,,,,,121.0,4.38,18.0,VAN
Filip Chytil,FILIP CHYTIL,,,,,99.0,6.08,23.0,VAN
David Kampf,DAVID KAMPF,,,,,116.0,5.35,17.0,VAN
Kiefer Sherwood,KIEFER SHERWOOD,,,,,477.0,26.6,92.0,VAN
Quinn Hughes,QUINN HUGHES,,,,,833.0,52.94,208.0,VAN
Linus Karlsson,LINUS KARLSSON,,,,,316.0,17.73,74.0,VAN
Drew O'Connor,DREW O'CONNOR,,,,,320.0,13.9,57.0,VAN
Lukas Reichel,LUKAS REICHEL,,,,,161.0,7.13,24.0,VAN
Nils Aman,NILS AMAN,,,,,15.0,0.59,3.0,VAN
Aatu Raty,AATU RATY,,,,,290.0,12.5,51.0,VAN
Arshdeep Bains,ARSHDEEP BAINS,,,,,186.0,8.97,43.0,VAN
Jonathan Lekkerimäki,JONATHAN LEKKERIM KI,,,,,70.0,2.67,7.0,VAN
Elias Pettersson,ELIAS PETTERSSON,,,,,249.0,10.39,40.0,VAN
Victor Mancini,VICTOR MANCINI,,,,,46.0,2.72,11.0,VAN
Max Sasson,MAX SASSON,,,,,261.0,11.05,47.0,VAN
Tom Willander,TOM WILLANDER,,,,,249.0,12.72,47.0,VAN
Braeden Cootes,BRAEDEN COOTES,,,,,21.0,0.44,0.0,VAN
