PlayerRaw,NormName,G/60,A/60,SOG/60,BLK/60,CF/60,xGF/60,HDCF/60,Team
Brayden McNabb,BRAYDEN MCNABB,,,,,495.0,25.93,94.0,VGK
Reilly Smith,REILLY SMITH,,,,,306.0,12.49,50.0,VGK
Mark Stone,MARK STONE,,,,,250.0,15.13,53.0,VGK
Brandon Saad,BRANDON SAAD,,,,,334.0,14.24,60.0,VGK
William Karlsson,WILLIAM KARLSSON,,,,,206.0,11.1,32.0,VGK
Tomas Hertl,TOMAS HERTL,,,,,594.0,37.56,134.0,VGK
Colton Sissons,COLTON SISSONS,,,,,199.0,7.75,36.0,VGK
Ben Hutton,BEN HUTTON,,,,,268.0,11.72,54.0,VGK
Shea Theodore,SHEA THEODORE,,,,,639.0,36.05,139.0,VGK
Ivan Barbashev,IVAN BARBASHEV,,,,,421.0,22.88,92.0,VGK
Noah Hanifin,NOAH HANIFIN,,,,,379.0,17.6,74.0,VGK
Jack Eichel,JACK EICHEL,,,,,652.0,44.03,162.0,VGK
Keegan Kolesar,KEEGAN KOLESAR,,,,,220.0,9.56,38.0,VGK
Jeremy Lauzon,JEREMY LAUZON,,,,,239.0,8.71,40.0,VGK
Mitch Marner,MITCH MARNER,,,,,653.0,39.9,150.0,VGK
Brett Howden,BRETT HOWDEN,,,,,297.0,12.42,55.0,VGK
Zach Whitecloud,ZACH WHITECLOUD,,,,,435.0,18.77,83.0,VGK
Cole Reinhardt,COLE REINHARDT,,,,,131.0,5.77,23.0,VGK
Kaedan Korczak,KAEDAN KORCZAK,,,,,377.0,15.69,71.0,VGK
Pavel Dorofeyev,PAVEL DOROFEYEV,,,,,600.0,35.15,132.0,VGK
Alexander Holtz,ALEXANDER HOLTZ,,,,,90.0,4.4,17.0,VGK
Braeden Bowman,BRAEDEN BOWMAN,,,,,221.0,15.58,54.0,VGK
