PlayerRaw,NormName,G/60,A/60,SOG/60,BLK/60,CF/60,xGF/60,HDCF/60,Team
Brayden McNabb,BRAYDEN MCNABB,,,,,512.0,26.68,99.0,VGK
Reilly Smith,REILLY SMITH,,,,,310.0,12.61,50.0,VGK
Mark Stone,MARK STONE,,,,,270.0,16.62,63.0,VGK
Brandon Saad,BRANDON SAAD,,,,,345.0,14.66,62.0,VGK
William Karlsson,WILLIAM KARLSSON,,,,,206.0,11.1,32.0,VGK
Tomas Hertl,TOMAS HERTL,,,,,610.0,38.06,138.0,VGK
Colton Sissons,COLTON SISSONS,,,,,199.0,7.75,36.0,VGK
Ben Hutton,BEN HUTTON,,,,,272.0,11.87,55.0,VGK
Shea Theodore,SHEA THEODORE,,,,,660.0,37.23,145.0,VGK
Ivan Barbashev,IVAN BARBASHEV,,,,,437.0,23.73,95.0,VGK
Noah Hanifin,NOAH HANIFIN,,,,,399.0,18.78,80.0,VGK
Jack Eichel,JACK EICHEL,,,,,672.0,45.05,168.0,VGK
Keegan Kolesar,KEEGAN KOLESAR,,,,,224.0,9.67,38.0,VGK
Jeremy Lauzon,JEREMY LAUZON,,,,,239.0,8.71,40.0,VGK
Mitch Marner,MITCH MARNER,,,,,671.0,41.36,160.0,VGK
Brett Howden,BRETT HOWDEN,,,,,309.0,13.41,62.0,VGK
Zach Whitecloud,ZACH WHITECLOUD,,,,,450.0,19.65,88.0,VGK
Cole Reinhardt,COLE REINHARDT,,,,,135.0,5.88,23.0,VGK
Kaedan Korczak,KAEDAN KORCZAK,,,,,386.0,16.08,73.0,VGK
Pavel Dorofeyev,PAVEL DOROFEYEV,,,,,616.0,35.65,136.0,VGK
Alexander Holtz,ALEXANDER HOLTZ,,,,,90.0,4.4,17.0,VGK
Braeden Bowman,BRAEDEN BOWMAN,,,,,233.0,16.09,57.0,VGK
