PlayerRaw,NormName,G/60,A/60,SOG/60,BLK/60,CF/60,xGF/60,HDCF/60,Team
Jonathan Toews,JONATHAN TOEWS,,,,,419.0,21.66,98.0,WPG
Luke Schenn,LUKE SCHENN,,,,,185.0,9.03,31.0,WPG
Gustav Nyquist,GUSTAV NYQUIST,,,,,271.0,15.07,52.0,WPG
Nino Niederreiter,NINO NIEDERREITER,,,,,364.0,22.41,78.0,WPG
Dylan DeMelo,DYLAN DEMELO,,,,,419.0,23.99,101.0,WPG
Adam Lowry,ADAM LOWRY,,,,,133.0,8.23,25.0,WPG
Mark Scheifele,MARK SCHEIFELE,,,,,536.0,34.73,139.0,WPG
Vladislav Namestnikov,VLADISLAV NAMESTNIKOV,,,,,371.0,21.84,90.0,WPG
Colin Miller,COLIN MILLER,,,,,123.0,5.9,24.0,WPG
Tanner Pearson,TANNER PEARSON,,,,,194.0,10.51,40.0,WPG
Josh Morrissey,JOSH MORRISSEY,,,,,575.0,36.43,155.0,WPG
Haydn Fleury,HAYDN FLEURY,,,,,163.0,8.94,41.0,WPG
Kyle Connor,KYLE CONNOR,,,,,508.0,32.81,134.0,WPG
Logan Stanley,LOGAN STANLEY,,,,,361.0,17.83,74.0,WPG
Gabriel Vilardi,GABRIEL VILARDI,,,,,486.0,31.86,127.0,WPG
Dylan Samberg,DYLAN SAMBERG,,,,,163.0,8.87,29.0,WPG
Alex Iafallo,ALEX IAFALLO,,,,,320.0,21.64,90.0,WPG
Neal Pionk,NEAL PIONK,,,,,471.0,26.38,99.0,WPG
Morgan Barron,MORGAN BARRON,,,,,157.0,7.87,36.0,WPG
Cole Koepke,COLE KOEPKE,,,,,94.0,4.84,20.0,WPG
Cole Perfetti,COLE PERFETTI,,,,,186.0,8.92,45.0,WPG
Nikita Chibrikov,NIKITA CHIBRIKOV,,,,,58.0,1.18,6.0,WPG
Brad Lambert,BRAD LAMBERT,,,,,26.0,1.41,8.0,WPG
Elias Salomonsson,ELIAS SALOMONSSON,,,,,31.0,0.9,7.0,WPG
Parker Ford,PARKER FORD,,,,,72.0,3.06,11.0,WPG
