PlayerRaw,NormName,G/60,A/60,SOG/60,BLK/60,CF/60,xGF/60,HDCF/60,Team
Alex Ovechkin,ALEX OVECHKIN,,,,,592.0,38.04,130.0,WSH
John Carlson,JOHN CARLSON,,,,,663.0,43.07,136.0,WSH
Nic Dowd,NIC DOWD,,,,,244.0,11.44,47.0,WSH
Dylan McIlrath,DYLAN MCILRATH,,,,,28.0,0.91,5.0,WSH
Tom Wilson,TOM WILSON,,,,,623.0,42.31,148.0,WSH
Trevor van Riemsdyk,TREVOR VAN RIEMSDYK,,,,,259.0,14.64,61.0,WSH
Sonny Milano,SONNY MILANO,,,,,170.0,8.96,33.0,WSH
Dylan Strome,DYLAN STROME,,,,,566.0,37.49,125.0,WSH
Anthony Beauvillier,ANTHONY BEAUVILLIER,,,,,445.0,25.94,93.0,WSH
Matt Roy,MATT ROY,,,,,565.0,30.31,131.0,WSH
Jakob Chychrun,JAKOB CHYCHRUN,,,,,793.0,48.1,165.0,WSH
Pierre-Luc Dubois,PIERRE-LUC DUBOIS,,,,,103.0,4.33,16.0,WSH
Brandon Duhaime,BRANDON DUHAIME,,,,,270.0,12.82,57.0,WSH
Martin Fehérváry,MARTIN FEH RV RY,,,,,486.0,28.33,108.0,WSH
Rasmus Sandin,RASMUS SANDIN,,,,,424.0,21.87,89.0,WSH
Declan Chisholm,DECLAN CHISHOLM,,,,,150.0,7.11,27.0,WSH
Connor McMichael,CONNOR MCMICHAEL,,,,,465.0,29.13,105.0,WSH
Aliaksei Protas,ALIAKSEI PROTAS,,,,,551.0,31.8,118.0,WSH
Justin Sourdif,JUSTIN SOURDIF,,,,,364.0,17.56,74.0,WSH
Hendrix Lapierre,HENDRIX LAPIERRE,,,,,299.0,15.39,66.0,WSH
Ethen Frank,ETHEN FRANK,,,,,167.0,9.13,44.0,WSH
Ryan Leonard,RYAN LEONARD,,,,,403.0,22.82,85.0,WSH
