PlayerRaw,NormName,G/60,A/60,SOG/60,BLK/60,CF/60,xGF/60,HDCF/60,Team
Alex Ovechkin,ALEX OVECHKIN,,,,,618.0,39.1,134.0,WSH
John Carlson,JOHN CARLSON,,,,,663.0,43.07,136.0,WSH
Nic Dowd,NIC DOWD,,,,,257.0,12.15,51.0,WSH
Dylan McIlrath,DYLAN MCILRATH,,,,,28.0,0.91,5.0,WSH
Tom Wilson,TOM WILSON,,,,,645.0,43.49,153.0,WSH
Trevor van Riemsdyk,TREVOR VAN RIEMSDYK,,,,,277.0,15.58,68.0,WSH
Sonny Milano,SONNY MILANO,,,,,170.0,8.96,33.0,WSH
Dylan Strome,DYLAN STROME,,,,,587.0,38.13,127.0,WSH
Anthony Beauvillier,ANTHONY BEAUVILLIER,,,,,456.0,26.26,94.0,WSH
Matt Roy,MATT ROY,,,,,584.0,31.39,135.0,WSH
Jakob Chychrun,JAKOB CHYCHRUN,,,,,823.0,50.11,174.0,WSH
Pierre-Luc Dubois,PIERRE-LUC DUBOIS,,,,,103.0,4.33,16.0,WSH
Brandon Duhaime,BRANDON DUHAIME,,,,,272.0,12.94,58.0,WSH
Martin Fehérváry,MARTIN FEH RV RY,,,,,500.0,28.8,110.0,WSH
Rasmus Sandin,RASMUS SANDIN,,,,,437.0,22.37,91.0,WSH
Declan Chisholm,DECLAN CHISHOLM,,,,,167.0,7.68,32.0,WSH
Connor McMichael,CONNOR MCMICHAEL,,,,,480.0,29.84,110.0,WSH
Aliaksei Protas,ALIAKSEI PROTAS,,,,,578.0,33.5,126.0,WSH
Justin Sourdif,JUSTIN SOURDIF,,,,,383.0,18.73,80.0,WSH
Hendrix Lapierre,HENDRIX LAPIERRE,,,,,306.0,15.76,68.0,WSH
Ethen Frank,ETHEN FRANK,,,,,178.0,9.88,49.0,WSH
Ryan Leonard,RYAN LEONARD,,,,,409.0,23.11,86.0,WSH
