Team,CF/60,CA/60,SF/60,xGF/60,xGA/60
Anaheim Ducks,1835,1692,850,94.14,96.2
Boston Bruins,1687,1881,785,85.05,109.48
Buffalo Sabres,1672,1737,810,90.87,92.78
Carolina Hurricanes,1927,1265,864,95.29,77.27
Columbus Blue Jackets,1704,1677,818,89.9,93.64
Calgary Flames,1764,1707,849,88.23,89.28
Chicago Blackhawks,1429,1641,695,74.88,91.39
Colorado Avalanche,1870,1533,917,103.08,74.43
Dallas Stars,1432,1677,753,94.94,87.22
Detroit Red Wings,1747,1637,852,99.14,85.17
Edmonton Oilers,1630,1623,798,87.05,91.69
Florida Panthers,1643,1442,754,90.69,83.71
Los Angeles Kings,1691,1482,770,84.76,78.35
Minnesota Wild,1617,1763,777,86.57,91.38
Montreal Canadiens,1382,1573,648,78.83,86.46
New Jersey Devils,1710,1664,821,85.96,87.15
Nashville Predators,1618,1441,751,84.13,88.5
New York Islanders,1672,1640,835,100.06,100.67
New York Rangers,1728,1732,766,89.74,93.92
Ottawa Senators,1528,1418,708,78.77,76.84
Philadelphia Flyers,1345,1481,657,75.32,80.62
Pittsburgh Penguins,1473,1579,707,85.61,81.45
San Jose Sharks,1484,1859,698,77.4,101.12
Seattle Kraken,1347,1501,617,68.27,74.52
St Louis Blues,1519,1582,722,79.55,76.98
Tampa Bay Lightning,1592,1501,734,101.96,83.08
Toronto Maple Leafs,1465,1769,735,83.63,89.93
Utah Mammoth,1650,1549,830,89.86,89.22
Vancouver Canucks,1622,1753,749,90.62,100.05
Vegas Golden Knights,1664,1565,800,87.98,74.51
Winnipeg Jets,1454,1679,711,83.85,91.67
Washington Capitals,1796,1654,850,104.08,91.49
